District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Coimbatore,1,25.787,31.088,3.97,30.866999999999997,20.761,5.67,21.955,1.2444,21.576999999999998
Coimbatore,2,26.645,28.502,4.48,31.815,21.52,6.2,22.862,2.8207,14.317
Coimbatore,3,27.171999999999997,30.645,4.84,32.167,22.209,6.54,24.524,2.2507,31.208000000000002
Coimbatore,4,28.646,43.396,5.07,33.321999999999996,24.039,6.45,27.151999999999997,4.3997,152.602
Coimbatore,5,27.651999999999997,53.396,4.74,31.839000000000002,23.519000000000002,6.05,28.16,6.5277,215.752
Coimbatore,6,26.195,73.19800000000001,4.19,29.717,22.706999999999997,5.14,27.919,19.5091,524.981
Coimbatore,7,25.794,78.635,4.07,29.171,22.464000000000002,4.91,27.339000000000002,14.3363,357.626
Coimbatore,8,25.953000000000003,72.273,4.06,29.268,22.649,5.0,27.22,9.9955,198.97099999999998
Coimbatore,9,26.309,64.404,4.17,29.991999999999997,22.706999999999997,5.24,26.973000000000003,13.0103,295.498
Coimbatore,10,26.104,61.163000000000004,3.98,29.97,22.276999999999997,5.14,26.851,8.6512,156.861
Coimbatore,11,25.284000000000002,53.263000000000005,3.62,29.309,21.309,4.94,25.706,8.9341,235.226
Coimbatore,12,24.285999999999998,41.088,3.53,28.81,19.797,5.09,22.287,3.0853,38.231
Coimbatore,13,24.607,31.088,3.87,29.686,19.582,5.6,21.77,2.1014,34.256
Coimbatore,14,25.409000000000002,28.502,4.34,30.58,20.285,6.09,22.549,1.771,6.98
Coimbatore,15,27.636999999999997,30.645,4.9,32.617,22.656,6.52,25.164,2.6237,80.285
Coimbatore,16,28.715999999999998,43.396,5.08,33.391,24.108,6.46,27.124000000000002,3.935,78.62
Coimbatore,17,28.253,53.396,4.79,32.431999999999995,24.127,6.07,28.13,6.7251,200.446
Coimbatore,18,26.783,73.19800000000001,4.24,30.304000000000002,23.311,5.21,27.919,16.1942,459.06
Coimbatore,19,25.535999999999998,78.635,4.04,28.914,22.205,4.89,27.316,21.6213,850.572
Coimbatore,20,26.531,72.273,4.11,29.844,23.238000000000003,5.02,28.303,12.1597,267.312
Coimbatore,21,25.715999999999998,64.404,4.12,29.398000000000003,22.08,5.25,26.973000000000003,8.6426,204.457
Coimbatore,22,25.793000000000003,61.163000000000004,3.97,29.656999999999996,21.944000000000003,5.1,26.844,14.6252,425.63800000000003
Coimbatore,23,25.491,53.263000000000005,3.63,29.517,21.516,4.93,25.500999999999998,5.3607,120.381
Coimbatore,24,25.221,41.088,3.61,29.744,20.741,5.1,23.342,4.1961,153.379
Coimbatore,25,25.586,31.088,3.98,30.666999999999998,20.546,5.64,21.932,0.8835,3.1180000000000003
Coimbatore,26,26.213,28.502,4.44,31.384,21.089000000000002,6.16,22.991999999999997,1.5811,2.7880000000000003
Coimbatore,27,27.838,30.645,4.93,32.818000000000005,22.86,6.55,24.581999999999997,0.253,0.253
Coimbatore,28,28.756,43.396,5.09,33.431,24.162,6.47,27.323,3.4032,49.31100000000001
Coimbatore,29,27.708000000000002,53.396,4.74,31.894000000000002,23.588,6.03,28.143,8.4986,373.38
Coimbatore,30,26.653000000000002,73.19800000000001,4.22,30.173000000000002,23.164,5.18,27.919,15.3143,439.51800000000003
Coimbatore,31,25.301,78.635,4.03,28.68,21.969,4.9,27.339000000000002,18.1841,610.499
Coimbatore,32,25.704,72.273,4.04,29.017,22.428,4.98,27.22,19.6234,372.36199999999997
