District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Cuddalore,1,26.149,31.765,3.61,30.316999999999997,22.000999999999998,5.22,24.831,0.9861,5.7860000000000005
Cuddalore,2,26.895,26.435,4.21,31.469,22.323,5.92,23.926,2.6477,54.845
Cuddalore,3,27.433000000000003,28.064,4.75,32.205,22.755,6.41,25.656999999999996,1.0322,7.693
Cuddalore,4,29.558000000000003,38.966,5.03,33.926,25.168000000000003,6.34,29.291,0.7776,10.604000000000001
Cuddalore,5,30.785,49.911,5.48,35.645,25.979,6.58,30.85,2.151,19.506
Cuddalore,6,30.901999999999997,68.729,5.43,35.650999999999996,26.154,6.24,28.756,1.5207,28.09
Cuddalore,7,29.769000000000002,76.908,5.2,34.339,25.197,5.98,28.111,2.2313,28.473000000000003
Cuddalore,8,29.14,70.632,5.11,33.658,24.63,6.0,28.951999999999998,3.9479,82.789
Cuddalore,9,28.862,63.413999999999994,4.83,33.255,24.538,5.87,29.108,6.9198,186.2
Cuddalore,10,27.791999999999998,61.173,4.11,31.66,23.928,5.23,28.484,5.2789,82.367
Cuddalore,11,25.955,52.684,3.45,29.555,22.378,4.75,26.579,8.9092,231.37599999999998
Cuddalore,12,24.660999999999998,42.103,3.15,28.252,21.074,4.61,24.589000000000002,4.2877,130.64600000000002
Cuddalore,13,24.991,31.765,3.5,29.136999999999997,20.843000000000004,5.16,23.331999999999997,3.3659,56.852
Cuddalore,14,25.05,26.435,4.03,29.625,20.477,5.79,22.685,2.1562,25.241999999999997
Cuddalore,15,27.674,28.064,4.78,32.449,22.971,6.36,26.039,1.0785,13.592
Cuddalore,16,29.986,38.966,5.07,34.375,25.616999999999997,6.35,29.266,0.6036,5.5089999999999995
Cuddalore,17,31.234,49.911,5.54,36.095,26.373,6.64,30.85,3.0122,71.257
Cuddalore,18,30.978,68.729,5.43,35.728,26.230999999999998,6.26,28.81,1.7477,21.826
Cuddalore,19,29.829,76.908,5.21,34.394,25.256999999999998,5.98,28.111,3.7061,72.697
Cuddalore,20,29.246,70.632,5.13,33.783,24.735,6.02,29.31,4.421,95.78
Cuddalore,21,28.528000000000002,63.413999999999994,4.81,32.92,24.204,5.88,29.108,6.1377,126.781
Cuddalore,22,26.994,61.173,4.04,30.863000000000003,23.149,5.19,28.462,10.2988,305.362
