District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Dharmapuri,1,24.399,27.801,4.07,30.345,18.516,5.94,19.4,1.0009,4.897
Dharmapuri,2,25.517,23.945999999999998,4.79,31.975,19.098,6.7,19.022000000000002,2.1005,13.107000000000001
Dharmapuri,3,26.552,25.246,5.51,33.216,19.949,7.35,20.177,0.1566,0.381
Dharmapuri,4,28.982,36.567,5.92,35.157,22.803,7.44,23.971999999999998,1.6411,33.478
Dharmapuri,5,28.105999999999998,47.746,5.73,33.959,22.268,7.2,25.469,4.3296,119.632
Dharmapuri,6,26.905,70.249,5.07,31.752,22.078000000000003,6.15,25.149,2.985,39.976
Dharmapuri,7,26.072,79.384,4.8,30.604,21.607,5.72,24.885,4.0317,44.701
Dharmapuri,8,26.013,72.292,4.8,30.576999999999998,21.523000000000003,5.78,25.116999999999997,3.9702,58.222
Dharmapuri,9,26.561,64.071,4.82,31.399,21.76,5.98,25.081999999999997,7.9865,198.08
Dharmapuri,10,25.666,59.376999999999995,4.24,30.253,21.103,5.52,24.559,6.3033,164.28400000000002
Dharmapuri,11,24.303,48.526,3.74,29.019000000000002,19.637,5.28,22.451999999999998,5.1714,103.602
Dharmapuri,12,22.308000000000003,38.465,3.47,27.406999999999996,17.266,5.2,19.826,2.4482,47.551
Dharmapuri,13,22.908,27.801,3.94,28.851999999999997,17.023,5.82,18.823,1.3252,13.433
Dharmapuri,14,23.969,23.945999999999998,4.63,30.427,17.557000000000002,6.58,18.296,1.124,3.1439999999999997
Dharmapuri,15,27.285,25.246,5.58,33.936,20.668000000000003,7.35,20.819000000000003,1.2819,9.627
Dharmapuri,16,28.85,36.567,5.88,35.019,22.684,7.43,23.965,2.2248,46.12
Dharmapuri,17,28.732,47.746,5.8,34.558,22.884,7.21,25.65,6.3126,140.61700000000002
Dharmapuri,18,27.5,70.249,5.12,32.315,22.688000000000002,6.17,25.208000000000002,2.9872,90.02600000000001
Dharmapuri,19,26.395,79.384,4.82,30.924,21.943,5.72,24.885,5.665,45.736999999999995
Dharmapuri,20,26.699,72.292,4.86,31.261,22.211,5.88,26.326999999999998,5.0682,142.173
Dharmapuri,21,25.585,64.071,4.72,30.425,20.818,5.96,25.081999999999997,6.7717,108.83
Dharmapuri,22,25.006999999999998,59.376999999999995,4.18,29.590999999999998,20.430999999999997,5.48,24.559,10.4868,252.428
Dharmapuri,23,24.096999999999998,48.526,3.73,28.811,19.408,5.23,22.011999999999997,4.2007,43.916000000000004
Dharmapuri,24,23.427,38.465,3.59,28.526,18.386,5.23,20.307000000000002,4.3195,59.69
Dharmapuri,25,23.605999999999998,27.801,4.0,29.551,17.745,5.85,18.823,0.1799,0.22
Dharmapuri,26,25.214000000000002,23.945999999999998,4.76,31.671999999999997,18.81,6.63,19.05,0.1867,0.396
Dharmapuri,27,27.595,25.246,5.62,34.259,20.994,7.39,20.651,0.0,0.0
Dharmapuri,28,29.079,36.567,5.91,35.249,22.898000000000003,7.47,24.059,1.3277,8.021
Dharmapuri,29,28.273000000000003,47.746,5.73,34.104,22.434,7.22,25.612,8.7948,135.112
Dharmapuri,30,27.037,70.249,5.07,31.854,22.215999999999998,6.15,25.149,3.3038,87.73899999999999
Dharmapuri,31,26.076999999999998,79.384,4.8,30.607,21.631,5.72,24.888,5.8302,54.49100000000001
Dharmapuri,32,25.772,72.292,4.77,30.333000000000002,21.266,5.82,25.116999999999997,6.3692,141.17600000000002
Dharmapuri,33,25.503,64.071,4.7,30.344,20.746,5.92,25.081999999999997,8.9153,269.42400000000004
Dharmapuri,34,25.127,59.376999999999995,4.19,29.714000000000002,20.563000000000002,5.5,24.559,8.7667,176.253
Dharmapuri,35,23.145,48.526,3.65,27.86,18.476,5.22,21.298000000000002,7.4497,274.56
Dharmapuri,36,22.15,38.465,3.45,27.248,17.098,5.18,19.41,3.0872,48.72
Dharmapuri,37,22.378,27.801,3.88,28.322,16.512,5.79,17.948,1.0606,4.454
Dharmapuri,38,23.799,23.945999999999998,4.61,30.256,17.384,6.56,18.062,0.0,0.0
Dharmapuri,39,26.744,25.246,5.51,33.409,20.128,7.31,19.532,0.0,0.0
Dharmapuri,40,28.944000000000003,36.567,5.9,35.123000000000005,22.781999999999996,7.45,24.033,2.3471,30.384
Dharmapuri,41,27.593000000000004,47.746,5.65,33.45,21.744,7.21,24.045,6.8979,231.645
Dharmapuri,42,25.991999999999997,70.249,4.96,30.831,21.148000000000003,6.11,24.379,2.9294,38.305
Dharmapuri,43,25.405,79.384,4.73,29.936999999999998,20.951999999999998,5.64,24.885,6.6522,96.12799999999999
Dharmapuri,44,25.898000000000003,72.292,4.8,30.462,21.383000000000003,5.79,25.116999999999997,3.4674,31.151
Dharmapuri,45,26.14,64.071,4.77,30.980999999999998,21.351999999999997,5.95,25.081999999999997,4.7472,85.131
Dharmapuri,46,25.57,59.376999999999995,4.23,30.153000000000002,20.996,5.51,24.559,7.1959,150.162
Dharmapuri,47,23.719,48.526,3.7,28.433000000000003,19.045,5.23,21.864,0.9863,2.073
Dharmapuri,48,22.414,38.465,3.48,27.514,17.361,5.2,20.047,1.54,4.928999999999999
Dharmapuri,49,22.896,27.801,3.94,28.842,16.997,5.8,18.801,1.008,9.992
Dharmapuri,50,25.316,23.945999999999998,4.8,31.774,18.891,6.64,18.98,0.2101,0.483
Dharmapuri,51,27.451,25.246,5.62,34.118,20.820999999999998,7.42,20.221,1.287,26.131
Dharmapuri,52,28.368000000000002,36.567,5.83,34.543,22.199,7.43,22.709,4.1466,44.11
Dharmapuri,53,28.443,47.746,5.77,34.306,22.612,7.18,25.708000000000002,7.1641,93.414
Dharmapuri,54,27.354,70.249,5.1,32.196999999999996,22.528000000000002,6.16,25.511999999999997,2.7393,35.426
