District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Erode,1,24.185,30.388,3.94,29.656999999999996,18.745,5.76,19.987000000000002,1.2406,16.77
Erode,2,25.199,27.521,4.57,30.995,19.43,6.4,20.509,3.1729,16.884
Erode,3,25.936,29.128,5.1,31.783,20.109,6.9,21.879,1.5556,22.42
Erode,4,27.820999999999998,41.36600000000001,5.42,33.297,22.359,6.93,24.982,3.1762,98.34200000000001
Erode,5,26.825,51.806999999999995,5.06,31.750999999999998,21.927,6.5,26.129,5.1094,168.239
Erode,6,25.473000000000003,72.807,4.45,29.561,21.430999999999997,5.5,25.785,9.8217,207.09900000000002
Erode,7,24.893,79.28699999999999,4.27,28.725,21.090999999999998,5.17,25.35,8.0667,155.064
Erode,8,25.076,72.778,4.31,28.951,21.226999999999997,5.32,25.38,5.9356,107.01299999999999
Erode,9,25.633000000000003,64.52,4.46,29.944000000000003,21.385,5.61,25.219,9.88,214.30900000000003
Erode,10,25.095,61.652,4.06,29.339000000000002,20.851999999999997,5.3,24.980999999999998,7.2386,111.09700000000001
Erode,11,23.973000000000003,52.669,3.62,28.333000000000002,19.687,5.04,23.590999999999998,7.2617,184.09799999999998
Erode,12,22.506999999999998,40.677,3.45,27.285,17.772000000000002,5.1,20.552,3.1051,34.061
Erode,13,22.912,30.388,3.83,28.383000000000003,17.468,5.66,19.95,2.1987,23.55
Erode,14,23.85,27.521,4.42,29.646,18.08,6.29,20.045,1.8916,9.099
Erode,15,26.498,29.128,5.15,32.346,20.686,6.89,22.533,2.0214,48.85
Erode,16,27.79,41.36600000000001,5.42,33.279,22.342,6.92,24.884,3.0719,73.128
Erode,17,27.41,51.806999999999995,5.13,32.321999999999996,22.506999999999998,6.52,26.122,6.2785,183.172
Erode,18,26.07,72.807,4.5,30.158,22.029,5.55,25.833000000000002,9.8875,232.328
Erode,19,24.873,79.28699999999999,4.27,28.703000000000003,21.07,5.18,25.314,12.4624,374.08099999999996
Erode,20,25.721,72.778,4.4,29.599,21.863000000000003,5.37,26.724,7.3225,147.53
Erode,21,24.88,64.52,4.4,29.19,20.615,5.61,25.219,5.7289,69.566
Erode,22,24.585,61.652,4.03,28.826,20.34,5.26,24.980999999999998,12.8257,317.858
Erode,23,23.959,52.669,3.63,28.318,19.673,5.0,23.311999999999998,5.0201,83.07
Erode,24,23.543000000000003,40.677,3.52,28.318,18.839000000000002,5.11,21.331,5.3228,156.96
Erode,25,23.714000000000002,30.388,3.89,29.186,18.27,5.7,19.942999999999998,0.8413,1.291
Erode,26,24.853,27.521,4.54,30.651,19.085,6.34,20.570999999999998,1.3459,2.6060000000000003
Erode,27,26.8,29.128,5.21,32.648,20.967,6.94,22.122,0.1956,0.196
Erode,28,28.003,41.36600000000001,5.43,33.494,22.558000000000003,6.95,25.069000000000003,2.1843,27.741
Erode,29,27.078000000000003,51.806999999999995,5.09,32.005,22.193,6.51,26.069000000000003,7.8129,252.517
Erode,30,25.857,72.807,4.5,29.947,21.840999999999998,5.53,25.807,8.1183,244.342
Erode,31,24.683000000000003,79.28699999999999,4.26,28.515,20.881999999999998,5.18,25.428,10.4669,229.572
Erode,32,24.845,72.778,4.3,28.723000000000003,20.998,5.32,25.38,10.8714,230.865
Erode,33,24.750999999999998,64.52,4.39,29.061999999999998,20.488000000000003,5.57,25.219,9.4289,216.035
Erode,34,24.57,61.652,4.02,28.811999999999998,20.325,5.27,24.980999999999998,9.9621,160.882
Erode,35,23.121,52.669,3.56,27.482,18.815,5.0,22.521,8.4773,238.77200000000002
Erode,36,22.143,40.677,3.4,26.918000000000003,17.445,5.09,20.149,3.6474,61.625
Erode,37,22.268,30.388,3.78,27.74,16.823,5.62,18.829,1.47,15.353
Erode,38,23.447,27.521,4.39,29.245,17.68,6.26,19.46,0.0447,0.045
Erode,39,25.717,29.128,5.09,31.564,19.869,6.86,21.22,0.2106,0.21100000000000002
Erode,40,27.569000000000003,41.36600000000001,5.38,33.056999999999995,22.121,6.91,25.025,3.5619,41.631
Erode,41,26.333000000000002,51.806999999999995,5.01,31.246,21.432,6.5,24.796999999999997,7.0423,190.59599999999998
Erode,42,24.448,72.807,4.34,28.538,20.424,5.47,24.666999999999998,9.5041,199.389
Erode,43,23.971,79.28699999999999,4.19,27.803,20.148,5.12,25.335,11.2069,238.551
Erode,44,24.781999999999996,72.778,4.28,28.66,20.939,5.27,25.357,6.7884,86.602
Erode,45,25.237,64.52,4.43,29.548000000000002,20.973000000000003,5.57,25.219,4.88,82.196
Erode,46,25.023000000000003,61.652,4.06,29.264,20.778000000000002,5.3,24.980999999999998,8.7676,139.851
Erode,47,23.535999999999998,52.669,3.59,27.898000000000003,19.229,5.02,23.081999999999997,1.4523,13.558
Erode,48,22.557,40.677,3.45,27.334,17.86,5.09,21.291999999999998,1.5716,9.478
Erode,49,22.965999999999998,30.388,3.83,28.438000000000002,17.516,5.64,19.884,0.9665,1.013
Erode,50,24.791,27.521,4.53,30.588,19.023,6.33,20.485,1.3346,28.875
Erode,51,26.434,29.128,5.17,32.283,20.587,6.94,21.965999999999998,1.9483,13.140999999999998
Erode,52,27.188000000000002,41.36600000000001,5.35,32.663000000000004,21.708000000000002,6.9,24.217,4.225,86.286
Erode,53,27.03,51.806999999999995,5.09,31.956999999999997,22.144000000000002,6.49,26.129,6.8314,127.035
Erode,54,25.768,72.807,4.48,29.858,21.758000000000003,5.51,25.898000000000003,8.8832,262.416
Erode,55,25.206999999999997,79.28699999999999,4.29,29.039,21.404,5.19,26.59,7.4003,102.382
Erode,56,25.219,72.778,4.33,29.096999999999998,21.373,5.32,25.38,9.6588,132.045
Erode,57,25.408,64.52,4.45,29.721,21.146,5.63,25.323,5.4268,66.334
Erode,58,24.871,61.652,4.05,29.113000000000003,20.627,5.27,24.980999999999998,11.8429,231.167
Erode,59,24.154,52.669,3.64,28.515,19.868,5.04,23.590999999999998,4.8838,60.176
Erode,60,22.744,40.677,3.46,27.499000000000002,18.024,5.09,20.329,0.7472,0.9259999999999999
Erode,61,23.93,30.388,3.92,29.404,18.488,5.68,19.942999999999998,2.0863,13.864
Erode,62,25.155,27.521,4.58,30.951999999999998,19.387999999999998,6.39,20.338,1.3519999999999999,17.01
Erode,63,26.066,29.128,5.13,31.914,20.256,6.88,22.084,1.9597,22.454
Erode,64,28.796,41.36600000000001,5.55,34.287,23.331,6.95,25.043000000000003,2.1875,14.979000000000001
Erode,65,28.028000000000002,51.806999999999995,5.21,32.94,23.129,6.59,26.156,4.6582,81.273
Erode,66,25.555999999999997,72.807,4.45,29.644000000000002,21.528000000000002,5.55,25.749000000000002,9.6604,221.838
Erode,67,24.555999999999997,79.28699999999999,4.25,28.389,20.755,5.17,25.415,10.559000000000001,180.763
Erode,68,24.729,72.778,4.28,28.605999999999998,20.885,5.32,25.401999999999997,12.5711,410.465
Erode,69,24.531,64.52,4.36,28.843000000000004,20.282,5.54,25.219,6.1857,64.78699999999999
Erode,70,24.785999999999998,61.652,4.03,29.03,20.543000000000003,5.26,24.980999999999998,9.6143,203.56599999999997
Erode,71,23.965,52.669,3.62,28.31,19.643,5.03,23.590999999999998,5.7879,92.671
Erode,72,23.000999999999998,40.677,3.48,27.776,18.289,5.12,21.083000000000002,4.1542,61.278
Erode,73,22.822,30.388,3.83,28.293000000000003,17.379,5.66,19.935,1.4718,8.005
Erode,74,24.464000000000002,27.521,4.48,30.261,18.697,6.33,20.897,0.7708,3.45
Erode,75,26.193,29.128,5.14,32.041,20.361,6.93,22.533,2.5664,40.714
Erode,76,26.913,41.36600000000001,5.3,32.403,21.465999999999998,6.86,23.979,5.8039,143.123
Erode,77,26.906999999999996,51.806999999999995,5.08,31.833000000000002,22.008000000000003,6.5,26.105999999999998,4.6729,88.098
Erode,78,25.294,72.807,4.42,29.384,21.276,5.49,25.749000000000002,12.4381,215.518
Erode,79,24.605999999999998,79.28699999999999,4.25,28.438000000000002,20.805,5.18,25.355,9.2429,258.895
Erode,80,24.13,72.778,4.21,28.006,20.283,5.26,25.166,9.547,159.498
Erode,81,25.294,64.52,4.44,29.605999999999998,21.031,5.57,25.219,8.402000000000001,104.712
Erode,82,25.084,61.652,4.06,29.326999999999998,20.840999999999998,5.29,24.980999999999998,10.1456,160.082
Erode,83,23.959,52.669,3.63,28.32,19.674,5.03,23.599,5.7955,151.64
Erode,84,23.029,40.677,3.49,27.805999999999997,18.289,5.12,20.913,3.0547,40.158
Erode,85,23.179000000000002,30.388,3.86,28.653000000000002,17.73,5.69,19.913,1.3649,10.981
Erode,86,24.092,27.521,4.44,29.888,18.324,6.33,19.889,2.1381,61.632
Erode,87,25.665,29.128,5.08,31.513,19.854,6.86,21.355,2.275,40.025
Erode,88,28.142,41.36600000000001,5.45,33.631,22.695,6.94,25.069000000000003,3.1060000000000003,69.51899999999999
Erode,89,26.761999999999997,51.806999999999995,5.06,31.675,21.849,6.51,26.105999999999998,6.5441,124.912
Erode,90,25.595,72.807,4.46,29.684,21.568,5.54,25.833000000000002,4.3317,155.502
Erode,91,23.855999999999998,79.28699999999999,4.18,27.688000000000002,20.055,5.14,24.414,9.0757,184.49
Erode,92,24.658,72.778,4.26,28.535999999999998,20.813000000000002,5.27,25.406,7.3524,65.671
Erode,93,25.09,64.52,4.41,29.4,20.842,5.57,25.219,7.0077,123.087
Erode,94,25.084,61.652,4.06,29.326999999999998,20.840999999999998,5.29,24.980999999999998,11.267999999999999,244.29
Erode,95,23.59,52.669,3.59,27.951,19.283,5.03,22.713,2.8101,15.485
Erode,96,22.599,40.677,3.44,27.355,17.86,5.09,19.969,1.2869,2.133
Erode,97,22.980999999999998,30.388,3.84,28.453000000000003,17.54,5.66,19.367,2.2887,32.566
Erode,98,24.416,27.521,4.48,30.215,18.649,6.31,20.897,1.4680000000000002,19.586
Erode,99,26.555,29.128,5.16,32.404,20.721,6.94,22.533,0.2181,0.218
Erode,100,27.39,41.36600000000001,5.36,32.879,21.941999999999997,6.93,24.6,5.6865,120.652
Erode,101,26.54,51.806999999999995,5.03,31.464000000000002,21.639,6.48,26.105999999999998,9.5321,240.236
Erode,102,25.445999999999998,72.807,4.45,29.535999999999998,21.433000000000003,5.51,25.668000000000003,9.3881,169.428
Erode,103,24.094,79.28699999999999,4.21,27.926,20.273,5.16,24.936999999999998,8.3166,142.2
Erode,104,24.768,72.778,4.28,28.647,20.921999999999997,5.3,25.379,13.8339,315.20599999999996
Erode,105,24.599,64.52,4.35,28.910999999999998,20.351,5.55,24.826,5.5578,82.861
Erode,106,24.959,61.652,4.06,29.201999999999998,20.715999999999998,5.26,24.980999999999998,9.4462,212.45
Erode,107,24.275,52.669,3.67,28.636,19.969,5.04,23.136999999999997,4.6059,55.665
Erode,108,23.515,40.677,3.51,28.29,18.809,5.15,21.1,1.3227,9.264
Erode,109,23.223000000000003,30.388,3.87,28.697,17.774,5.69,19.973,0.7652,3.313
Erode,110,24.22,27.521,4.45,30.016,18.453,6.32,20.521,1.975,52.576
Erode,111,26.322,29.128,5.15,32.171,20.473,6.9,21.538,0.2181,0.218
Erode,112,27.814,41.36600000000001,5.41,33.303000000000004,22.366999999999997,6.91,25.069000000000003,3.5663,33.772
Erode,113,27.454,51.806999999999995,5.15,32.379,22.535,6.55,26.129,5.1546,56.848
Erode,114,25.365,72.807,4.45,29.45,21.355999999999998,5.52,25.815,8.7742,99.21700000000001
Erode,115,24.695999999999998,79.28699999999999,4.26,28.526999999999997,20.894000000000002,5.19,25.305999999999997,12.2044,424.86699999999996
Erode,116,24.38,72.778,4.26,28.256999999999998,20.52,5.31,25.364,14.0689,335.67400000000004
Erode,117,24.289,64.52,4.32,28.599,20.04,5.54,25.219,5.7077,37.79
Erode,118,24.518,61.652,4.02,28.761,20.274,5.26,24.980999999999998,12.6935,272.337
Erode,119,23.189,52.669,3.56,27.55,18.905,5.0,23.215999999999998,6.4472,150.007
Erode,120,22.281999999999996,40.677,3.41,27.057,17.583,5.07,20.082,0.5464,0.547
Erode,121,23.076999999999998,30.388,3.85,28.55,17.628,5.68,19.913,1.127,1.284
Erode,122,23.195,27.521,4.36,28.991,17.429000000000002,6.26,19.554000000000002,1.2204,12.504000000000001
Erode,123,26.078000000000003,29.128,5.13,31.927,20.23,6.86,22.533,2.4409,39.868
Erode,124,27.611,41.36600000000001,5.38,33.099000000000004,22.177,6.91,25.029,3.9335,50.718999999999994
Erode,125,26.814,51.806999999999995,5.06,31.741999999999997,21.915,6.5,26.122,5.7171,105.375
Erode,126,25.155,72.807,4.42,29.238000000000003,21.145,5.5,25.516,14.4673,480.845
Erode,127,24.16,79.28699999999999,4.21,27.991,20.358,5.15,25.415,13.1203,357.86699999999996
Erode,128,24.778000000000002,72.778,4.3,28.656,20.933000000000003,5.26,25.406,4.738,37.678000000000004
Erode,129,25.685,64.52,4.47,29.984,21.386,5.63,25.219,5.9869,84.61
Erode,130,24.721999999999998,61.652,4.03,28.965,20.479,5.27,24.980999999999998,9.9061,214.077
Erode,131,24.193,52.669,3.64,28.554000000000002,19.909000000000002,5.03,23.590999999999998,6.5187,135.12
Erode,132,23.211,40.677,3.5,27.986,18.474,5.15,21.331,3.49,58.281000000000006
Erode,133,22.498,30.388,3.8,27.97,17.057000000000002,5.62,19.375,0.3593,0.375
Erode,134,25.228,27.521,4.57,31.024,19.459,6.34,20.859,1.3346,2.405
Erode,135,26.83,29.128,5.22,32.654,20.996,6.94,22.533,2.1721,23.793000000000003
Erode,136,28.151999999999997,41.36600000000001,5.45,33.628,22.705,6.94,25.025,1.7388,34.268
Erode,137,27.915,51.806999999999995,5.19,32.841,23.026,6.57,26.105999999999998,3.8905,97.506
Erode,138,25.385,72.807,4.45,29.467,21.354,5.55,25.77,10.0664,299.402
Erode,139,24.503,79.28699999999999,4.24,28.336,20.68,5.17,25.428,8.1926,191.833
Erode,140,24.815,72.778,4.31,28.691999999999997,20.956,5.28,25.399,7.9859,76.184
Erode,141,25.235,64.52,4.42,29.546999999999997,20.967,5.61,25.219,7.3839,164.574
Erode,142,24.566,61.652,4.02,28.808000000000003,20.320999999999998,5.27,24.980999999999998,10.825999999999999,207.512
Erode,143,23.673000000000002,52.669,3.61,28.031,19.387,5.03,23.590999999999998,6.5288,166.02200000000002
Erode,144,22.408,40.677,3.44,27.184,17.699,5.1,20.469,1.0661,3.984
Erode,145,22.359,30.388,3.8,27.831999999999997,16.909000000000002,5.62,18.905,0.0,0.0
Erode,146,24.595,27.521,4.5,30.389,18.827,6.31,20.897,0.0447,0.045
Erode,147,26.500999999999998,29.128,5.16,32.351,20.668000000000003,6.9,22.533,0.8497,0.941
Erode,148,28.249000000000002,41.36600000000001,5.48,33.713,22.763,6.95,25.029,2.2386,44.36600000000001
Erode,149,27.646,51.806999999999995,5.16,32.568000000000005,22.741999999999997,6.55,26.105999999999998,4.9216,97.867
Erode,150,25.595,72.807,4.45,29.684,21.58,5.56,25.78,6.1232,111.565
Erode,151,24.248,79.28699999999999,4.22,28.079,20.445,5.15,25.415,12.4228,264.655
Erode,152,24.934,72.778,4.31,28.81,21.074,5.27,25.373,6.4478,90.762
Erode,153,25.647,64.52,4.46,29.945999999999998,21.371,5.63,25.219,6.0949,70.944
Erode,154,24.665,61.652,4.03,28.906999999999996,20.422,5.27,24.980999999999998,8.8336,178.138
Erode,155,23.838,52.669,3.62,28.184,19.516,5.01,23.590999999999998,5.5266,85.46600000000001
Erode,156,23.555,40.677,3.52,28.33,18.837,5.15,21.331,3.8291,48.417
Erode,157,22.558000000000003,30.388,3.81,28.03,17.109,5.66,19.973,1.056,1.247
Erode,158,24.807,27.521,4.53,30.605999999999998,19.039,6.33,20.897,0.0447,0.045
Erode,159,26.679000000000002,29.128,5.19,32.525,20.851999999999997,6.93,22.533,0.4241,1.93
Erode,160,27.826,41.36600000000001,5.42,33.303000000000004,22.381,6.92,24.496,6.1204,55.555
Erode,161,27.579,51.806999999999995,5.15,32.5,22.688000000000002,6.53,26.105999999999998,5.5566,81.431
