District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Karur,1,23.776999999999997,33.493,3.76,28.769000000000002,18.852999999999998,5.52,20.899,1.3839,20.708000000000002
Karur,2,24.533,29.761,4.32,29.838,19.23,6.13,20.695999999999998,3.4227,35.723
Karur,3,25.271,31.058000000000003,4.82,30.655,19.954,6.62,22.035,2.0102,20.254
Karur,4,26.761,43.903,5.04,31.748,21.779,6.53,25.254,2.8248,98.324
Karur,5,26.526,54.588,4.84,31.155,21.982,6.19,26.474,4.3208,124.43299999999999
Karur,6,25.539,73.898,4.4,29.549,21.54,5.43,25.588,5.2428,101.229
Karur,7,24.901,79.082,4.28,28.776,21.04,5.19,25.212,5.2312,84.09700000000001
Karur,8,24.930999999999997,72.38600000000001,4.31,28.834,21.063000000000002,5.32,25.268,4.6078,67.305
Karur,9,25.141,65.256,4.33,29.24,21.04,5.49,25.234,8.3146,208.201
Karur,10,24.566,64.642,3.89,28.58,20.607,5.09,24.98,7.1106,136.435
Karur,11,23.313000000000002,56.338,3.45,27.295,19.373,4.8,23.781999999999996,8.4909,157.095
Karur,12,22.113000000000003,43.558,3.25,26.409000000000002,17.883,4.84,21.281,4.0073,39.373000000000005
Karur,13,22.673000000000002,33.493,3.65,27.665,17.753,5.42,20.335,3.0356,41.321999999999996
Karur,14,22.995,29.761,4.17,28.301,17.694000000000003,6.03,20.017,2.8296,21.49
Karur,15,25.551,31.058000000000003,4.85,30.936999999999998,20.26,6.59,22.564,2.4846,46.05
Karur,16,27.011999999999997,43.903,5.06,31.999000000000002,22.059,6.53,25.069000000000003,2.9122,53.582
Karur,17,26.969,54.588,4.9,31.598000000000003,22.425,6.23,26.474,4.4342,131.595
Karur,18,26.039,73.898,4.46,30.048000000000002,22.04,5.47,25.601999999999997,8.1267,119.314
Karur,19,24.788,79.082,4.28,28.663,20.924,5.19,25.184,7.0759,90.73700000000001
Karur,20,25.458000000000002,72.38600000000001,4.35,29.358,21.587,5.36,26.389,5.4362,120.0
Karur,21,24.688000000000002,65.256,4.27,28.791999999999998,20.592,5.49,25.234,6.3833,75.097
Karur,22,23.984,64.642,3.85,27.999000000000002,20.026,5.05,24.98,12.607999999999999,299.638
Karur,23,23.265,56.338,3.43,27.246,19.32,4.76,23.574,6.2808,125.605
Karur,24,22.855999999999998,43.558,3.31,27.151,18.654,4.86,21.768,5.4270000000000005,143.665
