District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Madurai,1,25.186,34.683,3.76,29.753,20.712,5.41,22.819000000000003,1.4762,29.365
Madurai,2,26.138,32.099000000000004,4.28,30.886999999999997,21.456999999999997,5.93,23.162,2.6905,51.992
Madurai,3,26.569000000000003,33.467,4.63,31.176,21.97,6.27,24.605,3.3633,50.003
Madurai,4,27.426,48.059,4.71,31.680999999999997,23.226999999999997,6.05,27.568,4.8811,200.12
Madurai,5,27.333000000000002,58.058,4.48,31.182,23.551,5.67,28.566999999999997,5.1405,194.398
Madurai,6,26.247,75.247,4.1,29.646,22.858,5.01,27.743000000000002,8.9528,127.411
Madurai,7,25.84,77.595,4.05,29.23,22.524,4.9,27.133000000000003,6.641,92.10700000000001
Madurai,8,25.796999999999997,71.07,4.07,29.189,22.483,5.04,26.892,5.3655,97.089
Madurai,9,25.822,65.09100000000001,4.08,29.386999999999997,22.324,5.16,26.865,8.0145,221.25400000000002
Madurai,10,25.541,64.683,3.83,29.156999999999996,21.933000000000003,4.95,26.883000000000003,7.9656,161.276
Madurai,11,24.46,58.05,3.42,28.12,20.843000000000004,4.68,26.070999999999998,11.3668,251.262
Madurai,12,24.028000000000002,44.996,3.34,28.014,20.067,4.8,23.46,4.1717,35.044000000000004
Madurai,13,24.436,34.683,3.7,29.003,19.893,5.38,22.39,2.3694,65.435
Madurai,14,24.686999999999998,32.099000000000004,4.14,29.438000000000002,20.008,5.85,22.679000000000002,1.7575,10.183
Madurai,15,26.653000000000002,33.467,4.64,31.259,22.055,6.23,25.054000000000002,3.4856,95.425
Madurai,16,27.967,48.059,4.77,32.223,23.741,6.07,27.526999999999997,3.6911,72.021
Madurai,17,27.81,58.058,4.53,31.658,24.026999999999997,5.69,28.566999999999997,3.7723,86.796
Madurai,18,26.58,75.247,4.13,29.979,23.19,5.04,27.769000000000002,12.1475,369.089
Madurai,19,25.423000000000002,77.595,4.02,28.811999999999998,22.081,4.89,27.084,8.7556,81.653
Madurai,20,26.147,71.07,4.1,29.538,22.807,5.06,27.825,6.8737,215.5
Madurai,21,25.614,65.09100000000001,4.06,29.178,22.115,5.19,26.865,8.8735,146.498
Madurai,22,25.066999999999997,64.683,3.78,28.680999999999997,21.502,4.91,26.883000000000003,13.3501,401.009
Madurai,23,24.653000000000002,58.05,3.44,28.313000000000002,21.063000000000002,4.64,25.969,7.4312,187.266
Madurai,24,24.612,44.996,3.38,28.596999999999998,20.677,4.8,24.16,4.013999999999999,98.06700000000001
Madurai,25,25.046999999999997,34.683,3.77,29.613000000000003,20.546,5.38,22.593000000000004,1.0809,18.719
Madurai,26,25.843000000000004,32.099000000000004,4.24,30.594,21.163,5.91,23.195999999999998,1.5319,3.09
Madurai,27,26.885,33.467,4.68,31.491,22.288,6.27,24.313000000000002,0.4178,0.41700000000000004
Madurai,28,27.925,48.059,4.76,32.18,23.699,6.09,27.569000000000003,2.9565,53.23
Madurai,29,27.415,58.058,4.5,31.265,23.634,5.67,28.517,7.6833,217.015
Madurai,30,26.579,75.247,4.13,29.976999999999997,23.19,5.03,27.743000000000002,9.4614,53.303000000000004
Madurai,31,25.471999999999998,77.595,4.02,28.862,22.129,4.91,27.183000000000003,7.4119,131.577
Madurai,32,25.588,71.07,4.04,28.953000000000003,22.248,5.02,26.892,13.3343,134.15
Madurai,33,25.44,65.09100000000001,4.03,29.004,21.94,5.16,26.865,10.4027,244.301
Madurai,34,25.416,64.683,3.81,28.988000000000003,21.805999999999997,4.92,26.883000000000003,10.7855,199.12099999999998
Madurai,35,24.443,58.05,3.42,28.104,20.853,4.67,25.516,8.711,247.521
Madurai,36,23.561,44.996,3.29,27.545,19.625999999999998,4.8,23.259,4.8934,108.55
Madurai,37,23.721,34.683,3.63,28.287,19.202,5.33,21.616999999999997,1.8527,48.754
Madurai,38,24.344,32.099000000000004,4.1,29.094,19.663,5.84,21.895,0.8037,1.381
Madurai,39,25.761999999999997,33.467,4.55,30.366999999999997,21.163,6.19,23.654,1.8003,3.253
Madurai,40,27.473000000000003,48.059,4.73,31.703000000000003,23.225,6.05,27.568,2.6012,11.819
Madurai,41,27.131,58.058,4.46,30.98,23.351,5.69,28.116999999999997,4.4204,99.102
Madurai,42,25.465,75.247,4.0,28.855,22.065,4.99,26.426,10.9038,88.545
Madurai,43,25.038,77.595,3.97,28.428,21.697,4.87,27.084,10.8265,174.928
Madurai,44,25.299,71.07,4.01,28.688000000000002,21.956999999999997,5.0,26.892,7.0081,59.317
Madurai,45,25.889,65.09100000000001,4.08,29.453000000000003,22.391,5.16,26.865,4.6397,72.995
Madurai,46,25.590999999999998,64.683,3.84,29.206999999999997,21.982,4.95,26.883000000000003,8.8368,271.968
Madurai,47,24.676,58.05,3.44,28.336,21.087,4.68,25.936,1.6961,14.967
Madurai,48,23.787,44.996,3.31,27.772,19.852,4.8,24.088,3.6347,35.866
Madurai,49,24.070999999999998,34.683,3.66,28.638,19.595,5.32,22.593000000000004,0.3044,0.304
Madurai,50,25.311,32.099000000000004,4.21,30.059,20.629,5.87,23.162,0.9614,1.913
Madurai,51,27.000999999999998,33.467,4.68,31.607,22.396,6.29,24.678,2.0404,3.764
Madurai,52,27.099,48.059,4.68,31.328000000000003,22.874000000000002,6.06,27.093000000000004,6.0628,122.079
Madurai,53,27.249000000000002,58.058,4.48,31.095,23.465999999999998,5.65,28.566999999999997,6.354,103.134
Madurai,54,26.304000000000002,75.247,4.11,29.695999999999998,22.906999999999996,5.0,27.82,9.2014,251.356
Madurai,55,26.362,77.595,4.11,29.755,23.022,4.95,28.198,6.3423,59.032
Madurai,56,25.846999999999998,71.07,4.07,29.237,22.531,5.04,26.892,7.4193,142.994
Madurai,57,26.182,65.09100000000001,4.12,29.747,22.685,5.2,26.891,6.0374,95.906
Madurai,58,25.441,64.683,3.82,29.057,21.833000000000002,4.94,26.883000000000003,10.6834,214.988
Madurai,59,24.885,58.05,3.46,28.544,21.27,4.69,26.070999999999998,6.5475,103.53399999999999
Madurai,60,24.111,44.996,3.34,28.096,20.175,4.8,23.191999999999997,0.7471,0.748
Madurai,61,24.787,34.683,3.75,29.354,20.244,5.36,22.593000000000004,2.1109999999999998,21.424
Madurai,62,25.709,32.099000000000004,4.24,30.456999999999997,21.029,5.9,23.037,1.0070000000000001,16.096
Madurai,63,26.67,33.467,4.64,31.276,22.070999999999998,6.25,24.815,2.9136,27.824
Madurai,64,28.364,48.059,4.82,32.62,24.14,6.09,27.612,3.1941,39.79
Madurai,65,27.715999999999998,58.058,4.53,31.561999999999998,23.932,5.72,28.590999999999998,4.5895,54.571999999999996
Madurai,66,26.061,75.247,4.07,29.46,22.671,5.02,27.769000000000002,9.3433,92.70100000000001
Madurai,67,25.570999999999998,77.595,4.02,28.961,22.254,4.89,27.133000000000003,7.4667,140.21200000000002
Madurai,68,25.298000000000002,71.07,4.01,28.688000000000002,21.983,5.0,26.892,8.6859,225.062
Madurai,69,25.773000000000003,65.09100000000001,4.07,29.337,22.275,5.16,26.865,5.0248,51.033
Madurai,70,25.316,64.683,3.8,28.889,21.708000000000002,4.92,26.883000000000003,10.2366,261.315
Madurai,71,24.344,58.05,3.42,28.003,20.711,4.66,26.070999999999998,8.7244,192.245
Madurai,72,24.26,44.996,3.35,28.245,20.327,4.8,23.243000000000002,6.1733,59.458999999999996
Madurai,73,24.119,34.683,3.66,28.686,19.645,5.34,22.593000000000004,1.0802,29.194000000000003
Madurai,74,25.128,32.099000000000004,4.18,29.878,20.447,5.87,23.346,0.7933,5.56
Madurai,75,26.601999999999997,33.467,4.63,31.208000000000002,22.003,6.26,25.054000000000002,3.0051,38.766
Madurai,76,27.041,48.059,4.67,31.27,22.816,6.04,27.311,5.7317,200.917
Madurai,77,27.439,58.058,4.5,31.289,23.656999999999996,5.67,28.525,4.4934,58.876999999999995
Madurai,78,26.171,75.247,4.08,29.569000000000003,22.78,5.01,27.769000000000002,12.7255,76.42699999999999
Madurai,79,25.516,77.595,4.02,28.904,22.171999999999997,4.91,27.084,7.6552,220.459
Madurai,80,24.846999999999998,71.07,3.97,28.237,21.531999999999996,4.98,26.151,7.4782,68.91
Madurai,81,25.865,65.09100000000001,4.08,29.429000000000002,22.366999999999997,5.16,26.865,8.3389,116.708
Madurai,82,25.325,64.683,3.8,28.898000000000003,21.717,4.92,26.883000000000003,11.7434,248.359
Madurai,83,24.633000000000003,58.05,3.44,28.294,21.045,4.67,26.070999999999998,7.9352,160.175
Madurai,84,24.193,44.996,3.34,28.179000000000002,20.26,4.8,23.375,4.3402,60.09
Madurai,85,24.328000000000003,34.683,3.69,28.894000000000002,19.852,5.36,22.593000000000004,1.3485,7.685
Madurai,86,24.845,32.099000000000004,4.15,29.594,20.164,5.88,23.229,2.3146,142.084
Madurai,87,26.103,33.467,4.59,30.709,21.505,6.2,24.245,3.1836,91.735
Madurai,88,27.956,48.059,4.77,32.211,23.732,6.07,27.612,4.5334,104.97399999999999
Madurai,89,27.173000000000002,58.058,4.46,31.021,23.391,5.69,28.566999999999997,4.9999,91.78200000000001
Madurai,90,25.838,75.247,4.06,29.236,22.439,5.01,27.743000000000002,4.8517,122.086
Madurai,91,24.72,77.595,3.94,28.087,21.38,4.86,26.258000000000003,7.7792,147.749
Madurai,92,25.298000000000002,71.07,4.01,28.686999999999998,21.983,5.0,26.608,7.2045,152.489
Madurai,93,25.366999999999997,65.09100000000001,4.03,28.930999999999997,21.866999999999997,5.15,26.865,10.2792,231.489
Madurai,94,25.325,64.683,3.8,28.898000000000003,21.717,4.92,26.883000000000003,11.4077,348.024
Madurai,95,24.21,58.05,3.39,27.87,20.62,4.67,25.345,4.1271,16.007
Madurai,96,23.646,44.996,3.3,27.63,19.71,4.8,22.662,2.8152,5.773
Madurai,97,23.910999999999998,34.683,3.64,28.478,19.435,5.32,21.643,2.0661,48.768
Madurai,98,24.976,32.099000000000004,4.16,29.726,20.297,5.84,23.346,2.0281,81.205
Madurai,99,26.593000000000004,33.467,4.63,31.197,21.995,6.25,25.054000000000002,1.8816,19.533
Madurai,100,27.423000000000002,48.059,4.72,31.679000000000002,23.199,6.07,27.553,6.1647,70.719
Madurai,101,27.017,58.058,4.46,30.864,23.234,5.67,28.566999999999997,8.3778,224.551
Madurai,102,25.811999999999998,75.247,4.05,29.21,22.414,5.0,27.761999999999997,9.0385,80.083
Madurai,103,24.755,77.595,3.94,28.121,21.414,4.86,25.81,4.7596,67.221
Madurai,104,24.980999999999998,71.07,3.99,28.346999999999998,21.642,4.98,26.533,11.7506,285.846
Madurai,105,25.233,65.09100000000001,4.02,28.796999999999997,21.735,5.12,25.875,6.6723,150.84799999999998
Madurai,106,25.291999999999998,64.683,3.8,28.865,21.684,4.91,26.926,8.9885,125.009
Madurai,107,24.618000000000002,58.05,3.45,28.276999999999997,20.959,4.68,25.885,6.3051,126.65700000000001
Madurai,108,24.375,44.996,3.36,28.361,20.442999999999998,4.8,23.543000000000003,2.4457,27.561
Madurai,109,24.326999999999998,34.683,3.69,28.894000000000002,19.852,5.37,22.593000000000004,1.2573,37.336
Madurai,110,24.776999999999997,32.099000000000004,4.15,29.528000000000002,20.097,5.87,23.238000000000003,2.4973,87.95200000000001
Madurai,111,26.043000000000003,33.467,4.59,30.65,21.445,6.23,24.046,0.9331,0.968
Madurai,112,27.098000000000003,48.059,4.69,31.351999999999997,22.843000000000004,6.03,27.612,4.5143,100.26100000000001
Madurai,113,27.531,58.058,4.51,31.38,23.748,5.67,28.566999999999997,3.7387,101.631
Madurai,114,25.811,75.247,4.05,29.201,22.413,5.0,27.769000000000002,9.2188,192.47299999999998
Madurai,115,25.254,77.595,3.98,28.62,21.913,4.89,27.084,9.4107,297.383
Madurai,116,24.998,71.07,3.99,28.362,21.656,5.0,26.892,13.6938,302.79200000000003
Madurai,117,25.256999999999998,65.09100000000001,4.03,28.820999999999998,21.758000000000003,5.14,26.865,5.9749,79.152
Madurai,118,24.999000000000002,64.683,3.78,28.614,21.39,4.9,26.883000000000003,11.946,284.296
Madurai,119,24.444000000000003,58.05,3.43,28.103,20.785,4.68,26.037,8.004,206.938
Madurai,120,23.837,44.996,3.31,27.822,19.903,4.8,22.693,0.9307,1.358
Madurai,121,24.104,34.683,3.66,28.671,19.629,5.35,22.593000000000004,1.0212,2.4730000000000003
Madurai,122,24.509,32.099000000000004,4.12,29.26,19.83,5.84,22.46,1.0063,28.656
Madurai,123,26.302,33.467,4.6,30.908,21.703000000000003,6.23,25.054000000000002,1.37,1.392
Madurai,124,27.381999999999998,48.059,4.71,31.636999999999997,23.184,6.05,27.568,2.6438,136.84
Madurai,125,27.024,58.058,4.46,30.872,23.241999999999997,5.69,28.566999999999997,3.8741,97.12299999999999
Madurai,126,25.289,75.247,4.01,28.686,21.891,4.99,26.699,12.2189,335.27099999999996
Madurai,127,24.921999999999997,77.595,3.96,28.311,21.581,4.87,27.133000000000003,8.6286,81.803
Madurai,128,25.349,71.07,4.01,28.737,22.033,5.0,26.892,4.1336,28.802
Madurai,129,25.968000000000004,65.09100000000001,4.1,29.531,22.467,5.18,26.865,6.2838,148.843
Madurai,130,25.092,64.683,3.78,28.706999999999997,21.526999999999997,4.92,26.883000000000003,9.3886,153.958
Madurai,131,24.728,58.05,3.45,28.386999999999997,21.095,4.68,26.070999999999998,8.3082,136.334
Madurai,132,24.188000000000002,44.996,3.35,28.171999999999997,20.254,4.83,24.16,5.46,111.72200000000001
Madurai,133,23.553,34.683,3.62,28.121,19.08,5.31,21.659000000000002,1.0875,2.977
Madurai,134,25.660999999999998,32.099000000000004,4.22,30.410999999999998,20.98,5.87,23.295,0.8136,3.258
Madurai,135,27.059,33.467,4.68,31.666,22.461,6.28,25.054000000000002,1.7773,3.823
Madurai,136,27.958000000000002,48.059,4.77,32.187,23.733,6.08,27.611,4.1964,52.063
Madurai,137,27.683000000000003,58.058,4.53,31.53,23.899,5.71,28.525,4.1945,127.235
Madurai,138,25.838,75.247,4.06,29.236,22.439,5.0,27.743000000000002,12.9586,495.23199999999997
Madurai,139,25.447,77.595,4.02,28.836,22.105,4.89,27.133000000000003,4.5658,54.071000000000005
Madurai,140,25.447,71.07,4.02,28.811,22.105999999999998,5.01,26.892,7.5253,215.68099999999998
Madurai,141,25.598000000000003,65.09100000000001,4.05,29.163,22.098000000000003,5.16,26.865,7.3167,210.933
Madurai,142,25.115,64.683,3.79,28.730999999999998,21.55,4.9,26.883000000000003,11.6549,492.22
Madurai,143,24.82,58.05,3.46,28.476999999999997,21.160999999999998,4.69,26.070999999999998,8.2617,218.35299999999998
Madurai,144,23.828000000000003,44.996,3.31,27.813000000000002,19.894000000000002,4.81,23.443,2.5,17.381
Madurai,145,23.788,34.683,3.64,28.355999999999998,19.272000000000002,5.33,21.605,1.5531,7.656000000000001
Madurai,146,25.351999999999997,32.099000000000004,4.2,30.1,20.671,5.86,23.395,0.7911,1.022
Madurai,147,26.684,33.467,4.63,31.29,22.086,6.25,25.054000000000002,0.755,2.701
Madurai,148,28.057,48.059,4.79,32.313,23.833000000000002,6.07,27.611,2.2195,74.617
Madurai,149,27.893,58.058,4.53,31.74,24.11,5.71,28.566999999999997,3.9247,72.084
Madurai,150,26.454,75.247,4.12,29.853,23.055999999999997,5.04,27.82,7.7035,68.937
Madurai,151,25.189,77.595,3.98,28.579,21.873,4.89,27.133000000000003,12.7968,143.29399999999998
Madurai,152,25.471999999999998,71.07,4.03,28.862,22.156999999999996,5.01,26.892,5.5387,83.669
Madurai,153,25.730999999999998,65.09100000000001,4.08,29.295,22.232,5.16,26.865,3.7515,76.365
Madurai,154,25.284000000000002,64.683,3.8,28.858,21.677,4.92,26.883000000000003,10.6973,286.221
Madurai,155,24.405,58.05,3.43,28.063000000000002,20.745,4.67,26.070999999999998,8.5321,98.145
Madurai,156,24.395,44.996,3.36,28.38,20.461,4.81,24.16,4.5798,45.871
Madurai,157,24.063000000000002,34.683,3.66,28.631,19.588,5.33,22.615,1.0802,4.602
Madurai,158,25.328000000000003,32.099000000000004,4.2,30.076,20.646,5.88,23.346,0.5760000000000001,0.759
Madurai,159,26.643,33.467,4.63,31.249000000000002,22.045,6.25,25.054000000000002,1.8171,12.927
Madurai,160,27.805999999999997,48.059,4.76,32.061,23.581999999999997,6.07,27.596,4.6859,24.829
Madurai,161,27.55,58.058,4.52,31.398000000000003,23.768,5.69,28.566999999999997,5.5442,102.74
Madurai,162,26.37,75.247,4.11,29.769000000000002,22.974,5.03,27.743000000000002,6.3159,143.023
Madurai,163,25.397,77.595,4.0,28.761999999999997,22.055,4.9,27.183000000000003,4.837,113.316
Madurai,164,25.298000000000002,71.07,4.01,28.688000000000002,21.983,5.0,26.892,5.7743,123.02600000000001
Madurai,165,25.849,65.09100000000001,4.09,29.413,22.349,5.16,26.865,8.4491,92.007
Madurai,166,25.285999999999998,64.683,3.81,28.901999999999997,21.677,4.93,26.883000000000003,14.2005,468.365
Madurai,167,24.736,58.05,3.45,28.395,21.101999999999997,4.67,26.070999999999998,6.9793,121.09700000000001
Madurai,168,24.379,44.996,3.36,28.363000000000003,20.418,4.82,24.16,5.7198,69.717
Madurai,169,24.453000000000003,34.683,3.7,29.021,19.954,5.37,22.593000000000004,1.665,13.797
Madurai,170,25.304000000000002,32.099000000000004,4.19,30.052,20.623,5.89,23.261999999999997,2.0594,27.201999999999998
Madurai,171,26.136,33.467,4.59,30.743000000000002,21.537,6.23,25.054000000000002,3.6672,25.584
Madurai,172,27.406999999999996,48.059,4.72,31.663,23.183000000000003,6.05,27.612,5.8278,134.202
Madurai,173,27.449,58.058,4.5,31.298000000000002,23.666999999999998,5.67,28.658,5.7511,101.682
Madurai,174,26.405,75.247,4.11,29.805,23.008000000000003,5.03,27.769000000000002,8.695,90.581
Madurai,175,25.43,77.595,4.02,28.82,22.089000000000002,4.89,27.133000000000003,9.3344,211.503
Madurai,176,25.956,71.07,4.08,29.345,22.615,5.05,26.892,6.3157,173.546
Madurai,177,25.796999999999997,65.09100000000001,4.08,29.361,22.299,5.16,26.865,10.2135,196.783
Madurai,178,25.741999999999997,64.683,3.84,29.357,22.176,4.92,26.883000000000003,6.1062,84.432
Madurai,179,24.951999999999998,58.05,3.46,28.61,21.336,4.69,26.095,9.3111,306.308
Madurai,180,24.276999999999997,44.996,3.35,28.263,20.344,4.83,24.16,2.4496,36.777
Madurai,181,23.886999999999997,34.683,3.66,28.455,19.369,5.34,22.004,0.0,0.0
Madurai,182,25.154,32.099000000000004,4.18,29.901999999999997,20.471,5.85,23.162,1.128,9.628
Madurai,183,26.759,33.467,4.65,31.366,22.160999999999998,6.25,24.471,1.235,2.6260000000000003
Madurai,184,27.958000000000002,48.059,4.77,32.187,23.733,6.08,27.569000000000003,4.6883,44.369
Madurai,185,27.566999999999997,58.058,4.51,31.414,23.783,5.72,28.590999999999998,5.9226,189.265
Madurai,186,25.322,75.247,4.0,28.714000000000002,21.923000000000002,4.97,27.769000000000002,8.5508,55.031000000000006
Madurai,187,25.474,77.595,4.02,28.862,22.131999999999998,4.88,27.084,12.0038,547.502
Madurai,188,25.415,71.07,4.02,28.804000000000002,22.101,5.02,26.892,9.0616,151.739
Madurai,189,25.165,65.09100000000001,4.01,28.729,21.666999999999998,5.15,26.865,6.9262,258.616
Madurai,190,25.041,64.683,3.78,28.656,21.433000000000003,4.9,26.934,9.1104,232.5
Madurai,191,24.625999999999998,58.05,3.44,28.285999999999998,21.037,4.67,26.070999999999998,7.4561,174.632
Madurai,192,23.487,44.996,3.29,27.471,19.552,4.8,22.941999999999997,2.4304,14.97
Madurai,193,23.739,34.683,3.64,28.307,19.222,5.33,22.205,1.0802,3.3539999999999996
