District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Nagapattinam,1,26.619,33.243,3.34,30.1,23.138,4.89,26.198,1.1622,5.406000000000001
Nagapattinam,2,27.33,28.244,3.91,31.171,23.518,5.52,25.238000000000003,2.6431,55.172
Nagapattinam,3,27.759,29.543000000000003,4.4,31.77,23.819000000000003,5.99,27.108,1.1647,21.28
Nagapattinam,4,29.5,40.743,4.68,33.27,25.69,5.93,30.679000000000002,1.136,17.529
Nagapattinam,5,31.141,52.044,5.22,35.522,26.83,6.22,32.078,1.8746,28.601
Nagapattinam,6,31.381,69.158,5.29,35.832,26.93,6.06,29.738000000000003,1.266,33.528
Nagapattinam,7,30.24,76.3,5.09,34.552,25.96,5.83,29.038,1.6854,24.671999999999997
Nagapattinam,8,29.611,70.387,5.01,33.891999999999996,25.33,5.87,29.949,4.0016,79.308
Nagapattinam,9,29.1,64.157,4.69,33.21,25.089000000000002,5.69,30.079,6.465,192.175
Nagapattinam,10,28.259,61.657,4.0,31.829,24.72,5.07,29.478,5.6628,60.668
Nagapattinam,11,26.36,54.157,3.3,29.6,23.19,4.54,27.638,10.45,222.65
Nagapattinam,12,25.289,44.157,2.95,28.329,22.278000000000002,4.32,25.738000000000003,5.0006,190.294
Nagapattinam,13,25.579,33.243,3.26,28.99,22.098000000000003,4.84,24.698,4.6153,93.234
Nagapattinam,14,25.43,28.244,3.75,29.271,21.59,5.44,24.037,2.3521,30.323
Nagapattinam,15,27.829,29.543000000000003,4.41,31.84,23.889,5.93,27.406999999999996,1.2165,13.482999999999999
Nagapattinam,16,30.13,40.743,4.73,33.97,26.389,5.95,30.579,0.2297,0.231
Nagapattinam,17,31.482,52.044,5.27,35.861999999999995,27.13,6.27,32.078,2.2832,64.791
Nagapattinam,18,31.381,69.158,5.29,35.832,26.93,6.07,29.738000000000003,2.2237,24.955
Nagapattinam,19,30.211,76.3,5.1,34.522,25.901,5.84,29.038,3.2352,46.957
Nagapattinam,20,29.671,70.387,5.01,33.952,25.389,5.88,30.149,4.1893,91.10799999999999
Nagapattinam,21,29.03,64.157,4.68,33.14,25.018,5.71,30.079,5.0328,151.158
Nagapattinam,22,27.43,61.657,3.93,31.0,23.889,5.04,29.378,11.0933,214.86599999999999
Nagapattinam,23,26.36,54.157,3.3,29.6,23.19,4.51,27.438000000000002,10.1424,260.379
Nagapattinam,24,25.789,44.157,2.98,28.829,22.778000000000002,4.32,26.068,6.7188,260.874
Nagapattinam,25,26.019000000000002,33.243,3.28,29.43,22.538,4.82,24.698,1.9005,45.49
Nagapattinam,26,27.159000000000002,28.244,3.89,31.0,23.349,5.49,25.238000000000003,1.8252,9.978
Nagapattinam,27,28.03,29.543000000000003,4.44,32.04,24.019000000000002,6.0,27.078000000000003,0.2,0.2
