District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Namakkal,1,25.89,30.441,4.02,31.138,20.675,5.75,22.244,1.2718,8.017999999999999
Namakkal,2,26.893,26.971,4.7,32.562,21.224,6.45,22.125,3.0573,14.152999999999999
Namakkal,3,27.79,28.429000000000002,5.32,33.659,22.006,7.01,23.753,1.0321,9.289
Namakkal,4,29.781,40.771,5.64,35.243,24.358,7.0,27.057,1.9472,63.107
Namakkal,5,29.051,50.93,5.43,34.149,23.944000000000003,6.74,28.475,3.7987,110.527
Namakkal,6,27.993000000000002,71.5,4.92,32.426,23.594,5.88,27.671999999999997,4.0765,67.979
Namakkal,7,27.278000000000002,78.79899999999999,4.75,31.543000000000003,23.093000000000004,5.58,27.272,4.4917,65.98100000000001
Namakkal,8,27.348000000000003,71.762,4.77,31.633000000000003,23.128,5.68,27.462,3.8302,109.234
Namakkal,9,27.787,63.8,4.81,32.288000000000004,23.27,5.88,27.391,7.8752,161.671
Namakkal,10,27.116,61.667,4.27,31.397,22.836,5.42,26.995,6.246,106.805
Namakkal,11,25.756,52.77,3.73,30.035999999999998,21.553,5.09,25.308000000000003,6.3693,163.126
Namakkal,12,24.144000000000002,40.866,3.48,28.685,19.678,5.07,22.593000000000004,3.0313,29.759
Namakkal,13,24.695999999999998,30.441,3.91,29.945,19.535,5.65,21.662,2.3871,19.163
Namakkal,14,25.365,26.971,4.54,31.034000000000002,19.702,6.33,21.49,2.0340000000000003,11.277000000000001
Namakkal,15,28.249000000000002,28.429000000000002,5.37,34.119,22.465999999999998,6.99,24.311999999999998,1.4718,28.323
Namakkal,16,29.820999999999998,40.771,5.64,35.297,24.399,7.0,27.006999999999998,2.1108,54.027
Namakkal,17,29.596999999999998,50.93,5.48,34.69,24.491,6.74,28.475,5.0119,150.043
Namakkal,18,28.574,71.5,4.97,33.007,24.186999999999998,5.91,27.839000000000002,5.1059,106.848
Namakkal,19,27.375,78.79899999999999,4.75,31.64,23.188000000000002,5.58,27.272,6.6988,112.919
Namakkal,20,27.968000000000004,71.762,4.83,32.2,23.689,5.75,28.653000000000002,4.7273,107.135
Namakkal,21,27.053,63.8,4.73,31.608,22.589000000000002,5.88,27.391,5.0356,73.516
Namakkal,22,26.454,61.667,4.22,30.736,22.174,5.39,26.995,11.3574,255.305
Namakkal,23,25.58,52.77,3.72,29.861,21.379,5.05,25.008000000000003,5.0366,69.946
Namakkal,24,25.104,40.866,3.56,29.645,20.639,5.08,23.07,4.8363,132.596
Namakkal,25,25.281999999999996,30.441,3.96,30.53,20.12,5.68,21.662,0.905,0.905
Namakkal,26,26.655,26.971,4.68,32.323,20.985,6.39,22.212,1.1942,1.3719999999999999
Namakkal,27,28.624000000000002,28.429000000000002,5.44,34.493,22.816,7.04,23.935,0.1577,0.158
Namakkal,28,30.096,40.771,5.68,35.516999999999996,24.621,7.05,27.078000000000003,1.2143,16.669
Namakkal,29,29.416999999999998,50.93,5.46,34.522,24.333000000000002,6.74,28.449,7.0721,184.148
Namakkal,30,28.351999999999997,71.5,4.95,32.785,23.965999999999998,5.9,27.698,3.8094,125.994
Namakkal,31,27.315,78.79899999999999,4.75,31.579,23.128,5.59,27.364,5.5227,63.223
Namakkal,32,27.147,71.762,4.75,31.434,22.936,5.7,27.462,6.306,149.392
Namakkal,33,27.014,63.8,4.72,31.569000000000003,22.55,5.85,27.391,8.0384,193.0
Namakkal,34,26.73,61.667,4.24,31.011999999999997,22.451,5.41,26.995,8.4892,150.238
Namakkal,35,25.028000000000002,52.77,3.69,29.309,20.772,5.09,24.348000000000003,7.7976,216.12900000000002
Namakkal,36,23.765,40.866,3.46,28.305999999999997,19.250999999999998,5.06,22.154,3.6877,59.501999999999995
Namakkal,37,24.03,30.441,3.86,29.279,18.861,5.62,20.698,1.4140000000000001,11.097000000000001
Namakkal,38,25.194000000000003,26.971,4.52,30.863000000000003,19.531,6.33,21.046999999999997,0.0,0.0
Namakkal,39,27.631999999999998,28.429000000000002,5.31,33.501,21.823,6.96,22.959,0.1577,0.158
Namakkal,40,29.803,40.771,5.64,35.279,24.381999999999998,7.02,27.065,2.3826,45.928000000000004
Namakkal,41,28.766,50.93,5.39,33.859,23.66,6.74,27.046,5.8901,165.713
Namakkal,42,27.11,71.5,4.82,31.533,22.701999999999998,5.85,27.23,4.3363,72.406
Namakkal,43,26.601,78.79899999999999,4.67,30.866,22.389,5.53,27.272,7.178999999999999,127.506
Namakkal,44,27.03,71.762,4.74,31.316,22.819000000000003,5.66,27.462,4.2393,40.489000000000004
Namakkal,45,27.461,63.8,4.78,32.016,22.944000000000003,5.87,27.391,3.8184,81.992
Namakkal,46,27.016,61.667,4.27,31.296999999999997,22.736,5.42,26.995,7.642,105.477
Namakkal,47,25.449,52.77,3.71,29.73,21.247,5.08,24.848000000000003,1.3924,11.703
Namakkal,48,24.004,40.866,3.46,28.545,19.555,5.06,23.049,1.7621,10.464
Namakkal,49,24.581,30.441,3.9,29.83,19.412,5.62,21.563000000000002,0.4828,0.496
Namakkal,50,26.589000000000002,26.971,4.68,32.259,20.92,6.38,22.125,1.2724,12.652000000000001
Namakkal,51,28.533,28.429000000000002,5.42,34.403,22.725,7.05,23.799,1.3313,10.282
Namakkal,52,29.243000000000002,40.771,5.57,34.717,23.82,6.99,26.013,4.1135,75.188
Namakkal,53,29.346999999999998,50.93,5.45,34.452,24.253,6.72,28.483,5.9653,83.109
Namakkal,54,28.281,71.5,4.94,32.715,23.895,5.89,27.868000000000002,3.4028,88.086
Namakkal,55,27.875,78.79899999999999,4.79,32.14,23.689,5.6,28.86,4.5711,43.001999999999995
Namakkal,56,27.622,71.762,4.79,31.909000000000002,23.410999999999998,5.73,27.462,6.0392,88.9
Namakkal,57,27.586,63.8,4.78,32.141,23.123,5.88,27.82,4.4893,63.281000000000006
Namakkal,58,26.896,61.667,4.26,31.175,22.614,5.4,26.995,10.8956,169.767
Namakkal,59,25.834,52.77,3.74,30.115,21.631,5.08,25.308000000000003,4.76,43.25899999999999
Namakkal,60,24.441,40.866,3.5,28.980999999999998,19.992,5.06,22.366999999999997,0.6845,0.782
Namakkal,61,25.603,30.441,3.99,30.851,20.441,5.65,21.609,2.3381,21.281999999999996
Namakkal,62,27.151,26.971,4.73,32.821,21.489,6.44,22.087,1.3719999999999999,13.309000000000001
Namakkal,63,27.989,28.429000000000002,5.34,33.86,22.206,6.99,23.73,1.4337,13.218
Namakkal,64,30.855,40.771,5.77,36.33,25.435,7.02,27.078000000000003,1.4346,4.281000000000001
Namakkal,65,30.381,50.93,5.57,35.466,25.275,6.82,28.564,3.6844,66.858
Namakkal,66,28.226999999999997,71.5,4.94,32.652,23.831999999999997,5.91,27.671999999999997,4.5402,94.08
Namakkal,67,27.337,78.79899999999999,4.76,31.601999999999997,23.151999999999997,5.59,27.296999999999997,6.0234,50.723
Namakkal,68,27.022,71.762,4.74,31.308000000000003,22.811,5.71,27.488000000000003,7.4084,197.14700000000002
Namakkal,69,26.779,63.8,4.71,31.335,22.263,5.83,27.391,5.1497,46.056000000000004
Namakkal,70,26.717,61.667,4.23,30.996,22.435,5.39,26.995,8.4209,185.959
Namakkal,71,25.668000000000003,52.77,3.74,29.95,21.412,5.08,25.308000000000003,5.8963,78.847
Namakkal,72,24.666,40.866,3.53,29.206999999999997,20.2,5.09,22.912,4.3753,60.50899999999999
Namakkal,73,24.543000000000003,30.441,3.89,29.791999999999998,19.373,5.64,21.609,1.3073,8.026
Namakkal,74,26.193,26.971,4.63,31.864,20.524,6.37,22.465,1.0679,2.0469999999999997
Namakkal,75,28.171999999999997,28.429000000000002,5.36,34.042,22.364,7.04,24.311999999999998,1.7984,15.040999999999999
Namakkal,76,29.096,40.771,5.56,34.516999999999996,23.62,6.99,25.935,5.1328,107.0
Namakkal,77,29.287,50.93,5.45,34.393,24.189,6.73,28.475,3.9252,55.981
Namakkal,78,27.846999999999998,71.5,4.89,32.28,23.46,5.88,27.671999999999997,5.6261,65.593
Namakkal,79,27.214000000000002,78.79899999999999,4.75,31.479,23.029,5.59,27.272,5.3931,88.15899999999999
Namakkal,80,26.590999999999998,71.762,4.67,30.878,22.38,5.66,27.143,5.9521,61.758
Namakkal,81,27.552,63.8,4.77,32.107,23.09,5.86,27.391,7.1083,112.705
Namakkal,82,26.976,61.667,4.26,31.256,22.695999999999998,5.41,26.995,8.9553,122.887
Namakkal,83,25.709,52.77,3.73,29.989,21.506,5.08,25.308000000000003,5.6284,141.555
Namakkal,84,24.679000000000002,40.866,3.53,29.22,20.2,5.09,22.828000000000003,2.8327,35.613
Namakkal,85,24.857,30.441,3.93,30.105,19.641,5.68,21.584,1.2952,4.91
Namakkal,86,25.732,26.971,4.57,31.401,20.062,6.37,21.357,2.2895,48.355
Namakkal,87,27.511,28.429000000000002,5.3,33.38,21.726999999999997,6.94,23.179000000000002,1.51,20.891
Namakkal,88,30.478,40.771,5.73,35.953,25.057,7.03,27.078000000000003,1.9141,67.304
Namakkal,89,29.195,50.93,5.44,34.287,24.096999999999998,6.75,28.475,4.7167,91.87899999999999
Namakkal,90,28.19,71.5,4.93,32.622,23.803,5.9,27.732,1.9263,79.524
Namakkal,91,26.584,78.79899999999999,4.66,30.848000000000003,22.397,5.55,26.594,5.3293,73.418
Namakkal,92,27.03,71.762,4.74,31.316,22.819000000000003,5.67,27.488000000000003,4.8484,39.483000000000004
Namakkal,93,27.138,63.8,4.74,31.693,22.674,5.85,27.391,5.6175,143.355
Namakkal,94,26.976,61.667,4.26,31.256,22.695999999999998,5.4,26.995,10.7004,162.872
Namakkal,95,25.408,52.77,3.72,29.69,21.153000000000002,5.09,24.548000000000002,2.8853,8.467
Namakkal,96,24.125,40.866,3.48,28.666,19.646,5.06,21.87,1.2045,1.486
Namakkal,97,24.764,30.441,3.91,30.011999999999997,19.602999999999998,5.64,20.835,2.2082,28.791999999999998
Namakkal,98,26.189,26.971,4.62,31.859,20.528000000000002,6.37,22.465,1.4234,15.539000000000001
Namakkal,99,28.432,28.429000000000002,5.4,34.302,22.623,7.03,24.311999999999998,0.1577,0.158
Namakkal,100,29.65,40.771,5.63,35.124,24.226999999999997,7.03,26.718000000000004,4.4709,108.23100000000001
Namakkal,101,28.826,50.93,5.4,33.931,23.726999999999997,6.72,28.475,7.814,128.806
Namakkal,102,27.974,71.5,4.89,32.406,23.587,5.89,27.629,4.7337,52.379
Namakkal,103,26.635,78.79899999999999,4.68,30.9,22.424,5.56,27.076999999999998,4.522,59.211999999999996
Namakkal,104,26.980999999999998,71.762,4.74,31.268,22.771,5.69,27.462,9.5991,176.357
Namakkal,105,26.615,63.8,4.67,31.171999999999997,22.153000000000002,5.81,26.947,5.7078,88.21600000000001
Namakkal,106,26.863000000000003,61.667,4.26,31.144000000000002,22.581999999999997,5.38,26.995,7.6641,238.043
Namakkal,107,26.138,52.77,3.79,30.416999999999998,21.881999999999998,5.09,24.97,3.2661,26.877
Namakkal,108,25.261999999999997,40.866,3.58,29.802,20.741999999999997,5.13,22.899,1.2752,4.229
Namakkal,109,24.89,30.441,3.94,30.138,19.675,5.69,21.662,1.0118,2.0
Namakkal,110,25.913,26.971,4.6,31.576,20.245,6.37,22.116999999999997,2.0972,41.474
Namakkal,111,28.090999999999998,28.429000000000002,5.36,33.961,22.283,7.0,23.09,0.1577,0.158
Namakkal,112,29.875999999999998,40.771,5.65,35.352,24.455,6.99,27.078000000000003,2.8434,24.693
Namakkal,113,29.921,50.93,5.53,35.02,24.815,6.78,28.483,3.7723,54.705
Namakkal,114,28.035,71.5,4.91,32.468,23.648000000000003,5.9,27.698,4.3098,42.933
Namakkal,115,27.174,78.79899999999999,4.74,31.439,22.988000000000003,5.58,27.272,7.2612,224.088
Namakkal,116,26.721,71.762,4.7,31.008000000000003,22.497,5.69,27.462,8.3814,148.986
Namakkal,117,26.439,63.8,4.67,30.995,21.976,5.81,27.391,5.8621,21.868000000000002
