District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Perambalur,1,26.245,31.574,3.8,30.831,21.683000000000003,5.44,24.328000000000003,1.0902,4.522
Perambalur,2,27.022,27.493000000000002,4.45,32.085,22.035999999999998,6.15,23.351,3.4214,24.961
Perambalur,3,27.776,28.791999999999998,5.02,32.961999999999996,22.612,6.67,24.951,1.0079,6.6579999999999995
Perambalur,4,29.701999999999998,40.98,5.27,34.488,24.916,6.6,28.528000000000002,1.1554,42.543
Perambalur,5,29.965,51.293,5.39,34.821999999999996,25.108,6.57,30.128,2.9316,60.698
Perambalur,6,29.558000000000003,70.988,5.13,34.06,25.055999999999997,6.0,28.559,1.9596,34.393
Perambalur,7,28.659000000000002,77.508,4.99,33.06,24.256999999999998,5.78,28.035999999999998,2.8533,32.423
Perambalur,8,28.386,71.3,4.9,32.688,24.061,5.81,28.581999999999997,3.6489,129.231
Perambalur,9,28.416,63.8,4.77,32.794000000000004,24.138,5.81,28.607,7.3365,205.06900000000002
Perambalur,10,27.516,62.493,4.18,31.57,23.538,5.28,27.983,5.7106,87.15299999999999
Perambalur,11,25.945999999999998,53.785,3.58,29.776999999999997,22.114,4.88,26.180999999999997,7.3702,161.89600000000002
Perambalur,12,24.491,42.493,3.3,28.475,20.583000000000002,4.79,24.204,3.8710000000000004,48.243
Perambalur,13,25.144000000000002,31.574,3.7,29.73,20.583000000000002,5.39,22.828000000000003,2.7946,39.255
Perambalur,14,25.299,27.493000000000002,4.28,30.361,20.313,6.04,22.28,2.7177,19.176
Perambalur,15,28.053,28.791999999999998,5.04,33.24,22.89,6.63,25.427,1.1811,15.808
Perambalur,16,29.971,40.98,5.3,34.757,25.185,6.6,28.451999999999998,1.1642,32.898
Perambalur,17,30.465,51.293,5.45,35.32,25.609,6.6,30.128,3.7397,111.19
Perambalur,18,29.835,70.988,5.15,34.336999999999996,25.333000000000002,6.02,28.56,3.218,50.583999999999996
Perambalur,19,28.735,77.508,4.97,33.061,24.334,5.76,28.035999999999998,3.5045,57.715
Perambalur,20,28.663,71.3,4.94,32.99,24.339000000000002,5.84,29.311999999999998,4.3346,109.47399999999999
Perambalur,21,27.939,63.8,4.72,32.318000000000005,23.66,5.82,28.607,6.135,159.899
Perambalur,22,26.717,62.493,4.1,30.77,22.761,5.24,27.983,10.6645,203.229
Perambalur,23,25.869,53.785,3.57,29.701,22.037,4.84,25.881999999999998,6.5401,91.096
Perambalur,24,25.269000000000002,42.493,3.35,29.253,21.359,4.8,24.305,4.9439,162.85
Perambalur,25,25.545,31.574,3.75,30.131,20.96,5.38,22.828000000000003,1.2124,6.291
Perambalur,26,26.822,27.493000000000002,4.43,31.884,21.836,6.11,23.351,1.0212,2.677
Perambalur,27,28.353,28.791999999999998,5.08,33.539,23.19,6.67,25.052,0.0,0.0
Perambalur,28,30.124000000000002,40.98,5.32,34.91,25.339000000000002,6.62,28.528000000000002,1.0099,7.694
Perambalur,29,30.016,51.293,5.4,34.873000000000005,25.160999999999998,6.6,30.128,6.3929,119.12799999999999
Perambalur,30,29.535,70.988,5.12,34.037,25.031999999999996,6.0,28.559,2.7423,75.456
Perambalur,31,28.635,77.508,4.99,33.036,24.233,5.79,28.035999999999998,3.4178,37.580999999999996
Perambalur,32,28.063000000000002,71.3,4.87,32.39,23.761,5.81,28.581999999999997,5.489,120.044
Perambalur,33,27.815,63.8,4.74,32.194,23.461,5.8,28.607,9.0519,269.658
Perambalur,34,27.339000000000002,62.493,4.16,31.393,23.384,5.27,27.983,7.7838,158.476
Perambalur,35,25.515,53.785,3.53,29.346999999999998,21.683000000000003,4.87,25.404,8.1873,163.539
Perambalur,36,24.215,42.493,3.27,28.2,20.307000000000002,4.79,23.774,4.9661,106.311
Perambalur,37,24.569000000000003,31.574,3.65,29.154,20.006,5.35,22.275,1.4012,23.031
Perambalur,38,25.299,27.493000000000002,4.28,30.361,20.312,6.04,22.029,0.0,0.0
Perambalur,39,27.576999999999998,28.791999999999998,4.99,32.763000000000005,22.413,6.61,24.028000000000002,0.0,0.0
Perambalur,40,30.046999999999997,40.98,5.31,34.834,25.263,6.6,28.528000000000002,1.1176,37.313
Perambalur,41,29.74,51.293,5.36,34.597,24.884,6.6,28.651,4.8372,122.678
Perambalur,42,28.805,70.988,5.04,33.308,24.304000000000002,5.98,28.482,2.8494,32.138000000000005
Perambalur,43,28.158,77.508,4.93,32.56,23.756,5.74,28.035999999999998,6.1301,97.846
Perambalur,44,28.088,71.3,4.88,32.414,23.761,5.78,28.581999999999997,3.6122,27.913
Perambalur,45,28.386999999999997,63.8,4.8,32.765,24.031999999999996,5.82,28.607,4.3663,94.896
Perambalur,46,27.439,62.493,4.17,31.494,23.462,5.28,27.983,7.0289,103.818
Perambalur,47,26.015,53.785,3.58,29.846,22.184,4.89,25.904,1.8231,8.907
Perambalur,48,24.291999999999998,42.493,3.28,28.276999999999997,20.384,4.79,24.304000000000002,2.9256,33.856
Perambalur,49,24.697,31.574,3.67,29.284000000000002,20.112000000000002,5.33,22.828000000000003,0.3,1.5230000000000001
