District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Pudukkottai,1,26.526,35.061,3.59,30.478,22.609,5.12,25.793000000000003,1.6642,14.919
Pudukkottai,2,27.156,31.043000000000003,4.17,31.529,22.831,5.77,25.023000000000003,2.695,41.576
Pudukkottai,3,27.69,32.569,4.66,32.131,23.235,6.23,26.491999999999997,2.0156,16.802
Pudukkottai,4,29.079,45.677,4.82,33.192,24.973000000000003,6.08,29.873,2.0761,47.106
Pudukkottai,5,29.499000000000002,55.688,4.79,33.47,25.537,5.89,31.206999999999997,2.4814,50.081
Pudukkottai,6,28.941999999999997,72.813,4.55,32.673,25.241999999999997,5.38,29.795,1.25,30.463
Pudukkottai,7,28.299,77.446,4.49,32.003,24.625,5.26,29.186999999999998,1.7513,27.649
Pudukkottai,8,28.098000000000003,71.314,4.48,31.801,24.451999999999998,5.36,29.37,2.1564,43.405
Pudukkottai,9,28.057,65.074,4.38,31.8,24.381,5.37,29.478,5.881,221.05200000000002
Pudukkottai,10,27.504,63.879,3.98,31.092,23.916,5.01,28.97,5.7759,118.318
Pudukkottai,11,26.061,57.205,3.44,29.521,22.67,4.61,27.590999999999998,9.106,222.092
Pudukkottai,12,25.086,45.143,3.15,28.535,21.701999999999998,4.55,25.434,4.3612,56.794
Pudukkottai,13,25.634,35.061,3.52,29.586,21.718000000000004,5.08,24.46,3.7717,59.478
Pudukkottai,14,25.447,31.043000000000003,3.99,29.82,21.160999999999998,5.68,24.043000000000003,2.9537,48.29
Pudukkottai,15,27.775,32.569,4.67,32.257,23.298000000000002,6.2,26.861,2.3245,23.395
Pudukkottai,16,29.6,45.677,4.87,33.713,25.494,6.09,29.845,1.7609,19.968
Pudukkottai,17,29.82,55.688,4.83,33.786,25.851999999999997,5.9,31.206999999999997,2.3173,62.03
Pudukkottai,18,29.296,72.813,4.6,33.027,25.589000000000002,5.41,29.796999999999997,3.1154,61.498999999999995
Pudukkottai,19,28.136999999999997,77.446,4.47,31.84,24.461,5.25,29.186999999999998,1.2759,12.634
Pudukkottai,20,28.339000000000002,71.314,4.51,32.045,24.671,5.38,29.918000000000003,3.0708,75.075
Pudukkottai,21,27.894000000000002,65.074,4.36,31.636,24.215999999999998,5.41,29.478,4.0542,77.997
Pudukkottai,22,26.793000000000003,63.879,3.88,30.342,23.205,4.98,28.97,10.3656,245.282
Pudukkottai,23,25.986,57.205,3.44,29.445999999999998,22.575,4.6,27.459,7.5681,189.58599999999998
Pudukkottai,24,25.561,45.143,3.18,29.01,22.178,4.55,25.897,4.7744,134.472
Pudukkottai,25,25.951999999999998,35.061,3.54,29.903000000000002,22.035999999999998,5.08,24.46,1.3769,12.982000000000001
Pudukkottai,26,26.991,31.043000000000003,4.15,31.363000000000003,22.705,5.74,25.024,1.6835,8.134
Pudukkottai,27,28.127,32.569,4.71,32.611,23.679000000000002,6.23,26.285,0.1934,0.193
Pudukkottai,28,29.781,45.677,4.88,33.894,25.674,6.1,29.85,1.1092,11.494000000000002
Pudukkottai,29,29.781999999999996,55.688,4.82,33.751999999999995,25.818,5.91,31.206999999999997,4.615,124.891
Pudukkottai,30,29.241999999999997,72.813,4.59,32.971,25.519000000000002,5.41,29.795,1.9651,36.217
Pudukkottai,31,28.303,77.446,4.49,32.007,24.629,5.28,29.252,2.0116,32.772
Pudukkottai,32,27.82,71.314,4.47,31.523000000000003,24.151999999999997,5.37,29.37,5.2281,151.673
Pudukkottai,33,27.864,65.074,4.37,31.605999999999998,24.164,5.36,29.478,6.7449,242.863
Pudukkottai,34,27.605999999999998,63.879,3.97,31.193,24.058000000000003,5.0,28.97,7.5215,97.82600000000001
