District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Ramanathapuram,1,25.474,38.243,3.61,29.541999999999998,21.432,5.02,24.224,2.5899,32.203
Ramanathapuram,2,26.444000000000003,33.989000000000004,4.16,30.785,22.092,5.62,23.985,2.9668,65.658
Ramanathapuram,3,26.796,36.305,4.51,31.089000000000002,22.479,5.94,25.568,3.3734,46.805
Ramanathapuram,4,27.808000000000003,49.53,4.57,31.71,23.871,5.7,28.552,4.8335,152.341
Ramanathapuram,5,27.991,58.655,4.35,31.539,24.5,5.33,29.518,4.1758,140.814
Ramanathapuram,6,27.165,70.94800000000001,4.02,30.366,24.034000000000002,4.81,28.500999999999998,2.9007,18.764
Ramanathapuram,7,26.515,73.598,3.99,29.717,23.355999999999998,4.75,27.745,1.9694,16.527
Ramanathapuram,8,26.441999999999997,69.069,4.01,29.643,23.281999999999996,4.84,27.72,1.5016,31.784000000000002
Ramanathapuram,9,26.372,64.381,4.0,29.691,23.076999999999998,4.92,27.754,7.6255,141.092
Ramanathapuram,10,26.164,62.885,3.78,29.543000000000003,22.784000000000002,4.75,27.636999999999997,6.9905,121.374
Ramanathapuram,11,25.245,57.36,3.38,28.646,21.894000000000002,4.46,26.656,12.8493,328.233
Ramanathapuram,12,24.616,48.352,3.21,28.166,21.129,4.45,24.168000000000003,5.345,32.109
Ramanathapuram,13,24.638,38.243,3.54,28.706,20.595,4.98,23.344,3.8465,136.362
Ramanathapuram,14,25.113000000000003,33.989000000000004,4.03,29.491,20.798000000000002,5.52,23.546,3.4539999999999997,26.801
Ramanathapuram,15,27.006999999999998,36.305,4.54,31.328000000000003,22.715999999999998,5.9,25.879,3.6868,72.17399999999999
Ramanathapuram,16,28.334,49.53,4.62,32.236,24.398000000000003,5.72,28.555,3.4884,46.946999999999996
Ramanathapuram,17,28.391,58.655,4.38,31.936999999999998,24.936,5.33,29.518,3.1316,56.63399999999999
Ramanathapuram,18,27.570999999999998,70.94800000000001,4.06,30.733,24.403000000000002,4.84,28.598000000000003,7.0509,178.16400000000002
Ramanathapuram,19,26.328000000000003,73.598,3.98,29.529,23.166999999999998,4.75,27.745,1.9599,2.7039999999999997
Ramanathapuram,20,26.819000000000003,69.069,4.05,30.024,23.662,4.85,28.247,3.0925,93.935
Ramanathapuram,21,26.471,64.381,4.02,29.791999999999998,23.177,4.95,27.754,4.9501,44.56
Ramanathapuram,22,25.73,62.885,3.73,29.112,22.386999999999997,4.71,27.636999999999997,12.1018,371.82099999999997
Ramanathapuram,23,25.107,57.36,3.37,28.506999999999998,21.758000000000003,4.45,26.621,9.2332,265.56
Ramanathapuram,24,24.964000000000002,48.352,3.25,28.513,21.436999999999998,4.45,25.096999999999998,5.7652,95.101
Ramanathapuram,25,25.487,38.243,3.61,29.555999999999997,21.445999999999998,4.99,23.517,1.6369,34.659
Ramanathapuram,26,26.357,33.989000000000004,4.15,30.695999999999998,22.004,5.59,24.006,1.7984,9.927
Ramanathapuram,27,27.139,36.305,4.56,31.46,22.851,5.94,25.081999999999997,0.3313,0.33
Ramanathapuram,28,28.499000000000002,49.53,4.65,32.44,24.601999999999997,5.72,28.590999999999998,2.7636,44.537
Ramanathapuram,29,28.099,58.655,4.35,31.647,24.647,5.32,29.518,6.2429,159.094
Ramanathapuram,30,27.538,70.94800000000001,4.06,30.74,24.409000000000002,4.82,28.500999999999998,4.1521,34.718
Ramanathapuram,31,26.497,73.598,4.0,29.7,23.337,4.75,27.839000000000002,3.4034,28.261
Ramanathapuram,32,26.375999999999998,69.069,4.01,29.576999999999998,23.217,4.84,27.72,6.7938,71.828
Ramanathapuram,33,26.314,64.381,4.0,29.631999999999998,23.018,4.91,27.754,7.2711,131.22899999999998
Ramanathapuram,34,26.28,62.885,3.78,29.659000000000002,22.938000000000002,4.73,27.636999999999997,8.5114,148.436
