District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Theni,1,25.480999999999998,33.344,3.87,30.18,20.801,5.52,22.569000000000003,1.1812,32.563
Theni,2,26.486,31.303,4.31,31.235,21.805999999999997,5.97,23.436999999999998,3.3635,31.869
Theni,3,26.767,33.6,4.58,31.281999999999996,22.319000000000003,6.21,24.934,4.1106,73.877
Theni,4,27.647,47.535,4.66,31.763,23.549,6.0,27.619,6.9565,249.446
Theni,5,27.135,57.536,4.42,30.884,23.404,5.64,28.403000000000002,7.8643,283.655
Theni,6,25.854,75.22,3.96,29.103,22.636999999999997,4.88,27.851,22.1552,408.417
Theni,7,25.551,77.92,3.92,28.768,22.369,4.77,27.166999999999998,14.5224,238.997
Theni,8,25.635,70.84100000000001,3.91,28.785,22.519000000000002,4.87,26.865,10.1784,204.15599999999998
Theni,9,25.548000000000002,64.42399999999999,3.94,28.914,22.215999999999998,5.04,26.733,11.5006,294.43
Theni,10,25.5,63.343,3.8,29.083000000000002,21.986,4.91,26.936,9.7982,204.49400000000003
Theni,11,24.683000000000003,56.725,3.45,28.364,21.031999999999996,4.71,26.221,12.4854,288.903
Theni,12,24.303,44.004,3.46,28.500999999999998,20.104,4.93,23.123,3.6795,35.72
Theni,13,24.636,33.344,3.78,29.333000000000002,19.936,5.46,22.269000000000002,2.1657,47.473
Theni,14,25.151999999999997,31.303,4.18,29.901,20.471,5.88,23.07,1.4043,4.596
Theni,15,26.914,33.6,4.59,31.43,22.482,6.17,25.449,4.0766,127.025
Theni,16,27.967,47.535,4.7,32.080999999999996,23.868000000000002,6.01,27.585,5.224,122.83200000000001
Theni,17,27.701999999999998,57.536,4.45,31.451,24.021,5.65,28.351999999999997,5.505,125.234
Theni,18,26.217,75.22,3.98,29.465,23.0,4.92,27.901999999999997,17.6498,648.351
Theni,19,25.033,77.92,3.88,28.25,21.851,4.75,27.134,19.5794,354.327
Theni,20,25.999000000000002,70.84100000000001,3.94,29.15,22.883000000000003,4.89,27.781999999999996,11.7041,331.941
Theni,21,25.301,64.42399999999999,3.93,28.666999999999998,21.951999999999998,5.05,26.733,13.6248,325.472
Theni,22,25.166999999999998,63.343,3.77,28.748,21.669,4.88,26.885,15.9648,504.606
Theni,23,25.017,56.725,3.49,28.698,21.368000000000002,4.7,26.121,7.3259,185.315
Theni,24,25.000999999999998,44.004,3.52,29.199,20.803,4.96,24.105999999999998,3.4481,98.609
Theni,25,25.535,33.344,3.87,30.233,20.854,5.5,22.538,1.0882,18.544
Theni,26,26.035,31.303,4.26,30.784000000000002,21.355,5.95,23.519000000000002,1.9363,3.6260000000000003
Theni,27,27.131999999999998,33.6,4.63,31.647,22.683000000000003,6.2,24.682,0.5186,0.519
Theni,28,27.9,47.535,4.69,32.013000000000005,23.8,6.03,27.701,4.885,78.45100000000001
Theni,29,27.151999999999997,57.536,4.42,30.901,23.421,5.64,28.318,10.0277,315.09
Theni,30,26.252,75.22,3.99,29.500999999999998,23.035,4.91,27.851,18.8884,133.20600000000002
Theni,31,24.953000000000003,77.92,3.87,28.169,21.771,4.76,27.166999999999998,16.0342,385.07599999999996
Theni,32,25.368000000000002,70.84100000000001,3.89,28.517,22.25,4.86,26.814,21.8122,237.09
Theni,33,25.034000000000002,64.42399999999999,3.89,28.4,21.703000000000003,5.03,26.733,14.9088,370.341
Theni,34,25.218000000000004,63.343,3.78,28.784000000000002,21.703000000000003,4.88,26.936,13.8525,349.37
