District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Thiruvarur,1,26.803,36.904,3.49,30.533,23.116999999999997,4.96,26.315,1.5231,9.838
Thiruvarur,2,27.433000000000003,31.775,4.11,31.646,23.303,5.67,25.328000000000003,3.5749,64.847
Thiruvarur,3,28.006,33.431999999999995,4.6,32.309,23.706,6.13,27.212,2.0666,38.834
Thiruvarur,4,29.38,45.244,4.8,33.431,25.398000000000003,6.0,30.625,2.2687,48.23
Thiruvarur,5,30.624000000000002,55.931000000000004,5.07,34.819,26.426,6.05,31.915,2.8949,50.229
Thiruvarur,6,30.517,70.652,4.93,34.555,26.47,5.72,29.866,1.5043,49.29600000000001
Thiruvarur,7,29.528000000000002,76.529,4.81,33.549,25.590999999999998,5.55,29.154,1.7855,17.08
Thiruvarur,8,29.043000000000003,71.995,4.74,32.982,25.123,5.58,29.756,3.1594,72.473
Thiruvarur,9,28.764,66.059,4.56,32.688,24.923000000000002,5.52,29.969,6.7403,226.072
Thiruvarur,10,28.122,63.442,4.03,31.750999999999998,24.575,5.06,29.434,6.2192,61.463
Thiruvarur,11,26.416999999999998,56.326,3.39,29.768,23.113000000000003,4.6,27.886,10.8542,215.52
Thiruvarur,12,25.47,47.482,3.07,28.723000000000003,22.268,4.38,25.805999999999997,5.1233,159.21200000000002
Thiruvarur,13,25.945,36.904,3.43,29.671999999999997,22.256999999999998,4.94,24.864,5.235,125.928
Thiruvarur,14,25.581999999999997,31.775,3.95,29.796,21.4,5.59,24.159000000000002,3.432,61.71
Thiruvarur,15,27.994,33.431999999999995,4.6,32.299,23.713,6.06,27.482,2.1536,18.797
Thiruvarur,16,30.088,45.244,4.86,34.14,26.107,6.01,30.555999999999997,0.6559,2.6069999999999998
Thiruvarur,17,30.844,55.931000000000004,5.08,35.038000000000004,26.7,6.05,31.915,3.0287,74.82300000000001
Thiruvarur,18,30.585,70.652,4.95,34.65,26.55,5.73,29.866,4.5757,39.882
Thiruvarur,19,29.416999999999998,76.529,4.81,33.436,25.427,5.57,29.154,2.1142,36.817
