District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Tirunelveli,1,21.008000000000003,30.414,3.12,24.6,17.432000000000002,4.36,19.224,1.8953,14.279000000000002
Tirunelveli,2,21.763,28.627,3.46,25.385,18.168,4.7,19.744,2.4534,42.739
Tirunelveli,3,21.819000000000003,30.174,3.64,25.288,18.395,4.88,20.877,3.7579,47.085
Tirunelveli,4,22.86,41.808,3.72,26.006999999999998,19.713,4.67,23.068,5.3523,122.866
Tirunelveli,5,22.436,49.641999999999996,3.45,25.236,19.663,4.32,23.641,5.9919,115.595
Tirunelveli,6,21.553,60.297,3.13,24.011,19.121,3.83,23.15,13.2635,389.4
Tirunelveli,7,21.029,61.538999999999994,3.09,23.471,18.612000000000002,3.74,22.595,8.4073,81.569
Tirunelveli,8,21.194000000000003,56.996,3.14,23.651,18.738,3.87,22.236,4.9054,162.774
Tirunelveli,9,21.186,53.063,3.18,23.787,18.582,4.0,22.309,7.9957,154.089
Tirunelveli,10,21.109,51.42100000000001,3.06,23.848000000000003,18.409000000000002,3.9,22.491999999999997,6.646,135.26
Tirunelveli,11,20.776,47.202,2.85,23.663,17.908,3.78,21.939,11.1205,199.574
Tirunelveli,12,20.537,39.025999999999996,2.82,23.729,17.387,3.9,19.702,4.4821,15.050999999999998
Tirunelveli,13,20.095,30.414,3.04,23.686999999999998,16.519000000000002,4.3,18.781,2.1726,77.454
Tirunelveli,14,21.147,28.627,3.4,24.768,17.524,4.64,19.683,0.3528,0.353
Tirunelveli,15,22.478,30.174,3.71,25.947,19.078,4.86,21.197,3.3538,54.247
Tirunelveli,16,22.994,41.808,3.73,26.114,19.846,4.67,23.068,3.927,68.97
Tirunelveli,17,22.984,49.641999999999996,3.5,25.781999999999996,20.233,4.32,23.61,4.3685,101.818
Tirunelveli,18,21.999000000000002,60.297,3.17,24.456999999999997,19.567,3.85,23.230999999999998,9.7121,238.886
Tirunelveli,19,20.897,61.538999999999994,3.08,23.34,18.480999999999998,3.74,22.554000000000002,10.5906,124.354
Tirunelveli,20,21.598000000000003,56.996,3.18,24.055,19.143,3.89,22.767,5.7594,94.084
Tirunelveli,21,21.195999999999998,53.063,3.19,23.799,18.594,4.0,22.309,8.4838,125.94
Tirunelveli,22,20.991,51.42100000000001,3.05,23.730999999999998,18.291,3.89,22.451999999999998,11.5807,356.846
Tirunelveli,23,20.779,47.202,2.84,23.623,17.894000000000002,3.77,21.939,6.8376,144.165
Tirunelveli,24,20.83,39.025999999999996,2.84,24.021,17.678,3.87,20.621,4.3048,106.708
Tirunelveli,25,21.421,30.414,3.14,25.014,17.845,4.34,19.224,0.9603,31.935
Tirunelveli,26,21.811999999999998,28.627,3.47,25.433000000000003,18.232,4.7,19.758,1.0636,2.33
Tirunelveli,27,22.318,30.174,3.7,25.785999999999998,18.916,4.87,20.403,0.4328,0.433
Tirunelveli,28,23.19,41.808,3.75,26.336,20.042,4.7,23.068,4.3603,128.44799999999998
Tirunelveli,29,22.419,49.641999999999996,3.45,25.22,19.646,4.32,23.627,6.9091,195.582
Tirunelveli,30,21.813000000000002,60.297,3.14,24.271,19.381,3.83,23.15,11.2042,120.508
Tirunelveli,31,20.956999999999997,61.538999999999994,3.08,23.399,18.541,3.75,22.595,10.763,155.556
Tirunelveli,32,21.155,56.996,3.14,23.611,18.698,3.88,22.236,9.0061,225.641
Tirunelveli,33,20.930999999999997,53.063,3.16,23.534000000000002,18.329,3.99,22.309,8.8838,121.781
Tirunelveli,34,21.072,51.42100000000001,3.05,23.811,18.371,3.9,22.469,9.4692,243.46599999999998
Tirunelveli,35,20.607,47.202,2.84,23.494,17.748,3.79,21.939,6.9499,179.02900000000002
Tirunelveli,36,20.057000000000002,39.025999999999996,2.79,23.249000000000002,16.905,3.88,19.660999999999998,4.6832,129.643
Tirunelveli,37,20.012999999999998,30.414,3.03,23.605999999999998,16.437,4.31,18.227999999999998,2.4771,38.599000000000004
Tirunelveli,38,20.418,28.627,3.32,24.04,16.796,4.63,18.761,0.7147,1.224
Tirunelveli,39,21.54,30.174,3.62,25.008000000000003,18.121,4.83,20.075,3.2533,9.834
Tirunelveli,40,22.581,41.808,3.7,25.728,19.435,4.65,23.090999999999998,3.0007,41.308
Tirunelveli,41,22.384,49.641999999999996,3.46,25.185,19.599,4.35,23.545,4.7945,57.336000000000006
Tirunelveli,42,20.719,60.297,3.05,23.178,18.285999999999998,3.79,22.026,13.8818,371.713
Tirunelveli,43,20.666,61.538999999999994,3.06,23.11,18.250999999999998,3.73,22.581,10.4328,169.58900000000003
Tirunelveli,44,20.947,56.996,3.13,23.404,18.505,3.86,22.253,5.2155,88.271
Tirunelveli,45,21.023000000000003,53.063,3.17,23.625999999999998,18.42,3.98,22.309,4.8412,78.032
Tirunelveli,46,21.296,51.42100000000001,3.07,24.035,18.596,3.9,22.491999999999997,7.8716,209.44299999999998
Tirunelveli,47,20.813000000000002,47.202,2.86,23.7,17.945,3.79,21.939,1.2682,10.822000000000001
Tirunelveli,48,20.334,39.025999999999996,2.8,23.526,17.184,3.88,20.325,3.2335,37.512
Tirunelveli,49,20.554000000000002,30.414,3.08,24.147,16.977999999999998,4.31,19.224,0.9336,2.398
Tirunelveli,50,21.144000000000002,28.627,3.41,24.765,17.538,4.66,19.744,0.48100000000000004,0.501
Tirunelveli,51,22.201999999999998,30.174,3.69,25.647,18.777,4.88,20.941,1.1835,3.5210000000000004
Tirunelveli,52,22.272,41.808,3.65,25.419,19.152,4.65,23.038,5.1043,110.666
Tirunelveli,53,22.186999999999998,49.641999999999996,3.43,24.988000000000003,19.438,4.29,23.641,6.06,138.878
Tirunelveli,54,21.396,60.297,3.11,23.838,18.964000000000002,3.79,23.204,11.2844,263.205
Tirunelveli,55,21.244,61.538999999999994,3.11,23.686,18.829,3.75,23.057,6.4883,47.018
Tirunelveli,56,21.226,56.996,3.15,23.682,18.783,3.87,22.236,6.5899,219.604
Tirunelveli,57,21.441,53.063,3.2,24.043000000000003,18.839000000000002,4.0,22.309,5.3984,53.066
Tirunelveli,58,20.963,51.42100000000001,3.04,23.701999999999998,18.262999999999998,3.9,22.451999999999998,8.165,186.643
Tirunelveli,59,20.948,47.202,2.87,23.834,18.078,3.78,21.939,4.9243,74.765
Tirunelveli,60,20.49,39.025999999999996,2.82,23.682,17.339000000000002,3.89,19.63,0.7232,0.722
Tirunelveli,61,20.866,30.414,3.11,24.458000000000002,17.29,4.31,19.224,1.6619,8.736
Tirunelveli,62,21.636999999999997,28.627,3.44,25.259,18.058,4.66,19.727,1.0671,25.704
Tirunelveli,63,22.412,30.174,3.7,25.88,19.011,4.86,21.197,2.3123,17.249000000000002
Tirunelveli,64,23.463,41.808,3.79,26.61,20.315,4.71,23.068,3.8431,42.68899999999999
Tirunelveli,65,22.485,49.641999999999996,3.45,25.285,19.709,4.34,23.641,4.8804,49.161
Tirunelveli,66,21.421999999999997,60.297,3.12,23.88,19.005,3.82,23.204,10.5571,144.8
Tirunelveli,67,20.685,61.538999999999994,3.05,23.127,18.269000000000002,3.74,22.568,8.5708,121.085
Tirunelveli,68,20.842,56.996,3.11,23.296999999999997,18.399,3.84,22.253,6.4054,139.132
Tirunelveli,69,21.355999999999998,53.063,3.2,23.959,18.754,4.0,22.309,4.0009,26.371
Tirunelveli,70,21.022,51.42100000000001,3.05,23.761,18.322,3.9,22.469,9.1845,250.865
Tirunelveli,71,20.53,47.202,2.84,23.416999999999998,17.644000000000002,3.78,21.939,7.6817,140.725
Tirunelveli,72,20.309,39.025999999999996,2.8,23.5,17.158,3.87,19.934,6.0067,96.057
Tirunelveli,73,20.385,30.414,3.06,23.976,16.792,4.32,19.224,1.7051,45.077
Tirunelveli,74,21.004,28.627,3.39,24.625999999999998,17.425,4.65,19.815,0.6587,0.867
Tirunelveli,75,22.081,30.174,3.68,25.55,18.657,4.88,21.197,2.8894,36.884
Tirunelveli,76,22.284000000000002,41.808,3.65,25.430999999999997,19.164,4.65,23.068,5.3293,138.116
