District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Tiruvannamalai,1,24.548000000000002,28.564,3.91,29.962,19.17,5.72,21.475,0.8333,4.99
Tiruvannamalai,2,25.465,23.105,4.6,31.447,19.518,6.53,20.506999999999998,3.4964,55.369
Tiruvannamalai,3,26.24,24.504,5.27,32.455,20.066,7.14,21.71,0.5521,0.552
Tiruvannamalai,4,28.951999999999998,35.018,5.66,34.62,23.264,7.14,25.888,1.0979999999999999,16.649
Tiruvannamalai,5,29.669,46.236999999999995,5.9,35.474000000000004,23.897,7.21,27.351,3.5235,67.059
Tiruvannamalai,6,29.267,67.459,5.49,34.407,24.131,6.49,25.888,2.5765,36.864000000000004
Tiruvannamalai,7,28.094,77.699,5.25,33.001999999999995,23.186999999999998,6.11,25.534000000000002,3.4037,44.49
Tiruvannamalai,8,27.44,71.054,5.12,32.31,22.619,6.12,26.055,4.9774,50.433
Tiruvannamalai,9,27.485,62.628,4.94,32.329,22.641,6.08,26.296999999999997,7.4329,203.676
Tiruvannamalai,10,26.229,59.107,4.23,30.686,21.844,5.49,25.796999999999997,5.5701,199.03799999999998
Tiruvannamalai,11,24.401999999999997,48.96,3.61,28.735,20.082,5.11,23.488000000000003,6.9477,199.96
Tiruvannamalai,12,22.754,38.805,3.33,27.336,18.205,5.01,21.518,3.3564,216.764
Tiruvannamalai,13,23.11,28.564,3.77,28.522,17.723,5.62,20.115,2.2092,45.22
Tiruvannamalai,14,23.68,23.105,4.42,29.660999999999998,17.733,6.39,19.386,2.1401,19.701
Tiruvannamalai,15,26.819000000000003,24.504,5.33,33.034,20.645,7.12,22.195999999999998,0.9937,3.076
Tiruvannamalai,16,29.109,35.018,5.68,34.775,23.421999999999997,7.16,25.861,1.1378,17.168
Tiruvannamalai,17,30.221,46.236999999999995,5.96,36.025999999999996,24.449,7.24,27.496,4.6538,82.245
Tiruvannamalai,18,29.451,67.459,5.52,34.593,24.316,6.49,26.03,2.497,69.058
Tiruvannamalai,19,28.331999999999997,77.699,5.27,33.241,23.426,6.13,25.534000000000002,5.124,54.108999999999995
Tiruvannamalai,20,27.803,71.054,5.17,32.679,22.962,6.16,26.596,6.6756,231.19099999999997
Tiruvannamalai,21,26.803,62.628,4.87,31.645,21.959,6.08,26.296999999999997,8.0217,175.796
Tiruvannamalai,22,25.471,59.107,4.16,29.929000000000002,21.087,5.44,25.796999999999997,9.8474,300.54900000000004
Tiruvannamalai,23,24.35,48.96,3.59,28.682,20.051,5.05,22.988000000000003,5.9726,109.008
Tiruvannamalai,24,23.614,38.805,3.4,28.197,19.084,5.02,21.555,5.2675,116.08200000000001
Tiruvannamalai,25,23.781999999999996,28.564,3.83,29.195999999999998,18.424,5.65,20.121,1.1251,30.565
Tiruvannamalai,26,25.131,23.105,4.57,31.113000000000003,19.183,6.46,20.511999999999997,1.0315,3.3310000000000004
Tiruvannamalai,27,26.939,24.504,5.35,33.128,20.764,7.16,22.138,0.0,0.0
Tiruvannamalai,28,29.015,35.018,5.68,34.681999999999995,23.329,7.19,25.888,0.8589,3.9939999999999998
Tiruvannamalai,29,29.033,46.236999999999995,5.81,34.835,23.285,7.19,27.147,8.247,153.576
Tiruvannamalai,30,28.682,67.459,5.42,33.824,23.546999999999997,6.45,25.888,3.3219,68.37899999999999
Tiruvannamalai,31,27.879,77.699,5.22,32.786,23.0,6.09,25.534000000000002,5.1618,80.066
Tiruvannamalai,32,27.209,71.054,5.1,32.085,22.372,6.13,26.055,7.1563,138.519
