District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Vellore,1,24.153000000000002,27.285999999999998,3.95,29.886,18.448,5.83,20.268,0.4885,1.426
Vellore,2,25.201999999999998,22.08,4.72,31.541,18.871,6.67,19.345,4.0242,40.846
Vellore,3,26.018,23.568,5.38,32.579,19.482,7.3,20.368,0.0868,0.087
Vellore,4,28.904,33.48,5.83,34.964,22.877,7.38,24.725,1.1098,20.636
Vellore,5,29.381,44.699,5.98,35.42,23.381999999999998,7.39,26.074,3.7995,75.97800000000001
Vellore,6,28.744,67.124,5.45,33.931,23.605,6.5,25.115,2.5729,37.751999999999995
Vellore,7,27.553,78.098,5.18,32.393,22.706,6.05,24.822,3.8649,50.849
Vellore,8,26.995,71.0,5.04,31.818,22.249000000000002,6.06,25.233,4.9657,37.391999999999996
Vellore,9,27.155,62.327,4.93,32.059,22.256999999999998,6.1,25.413,7.4513,205.704
Vellore,10,25.872,58.205,4.23,30.43,21.337,5.54,24.923000000000002,5.7213,183.34
Vellore,11,24.068,47.20399999999999,3.63,28.601999999999997,19.581,5.19,22.47,6.3642,171.101
Vellore,12,22.209,37.385999999999996,3.34,27.038,17.430999999999997,5.11,20.447,3.2038,169.398
Vellore,13,22.601,27.285999999999998,3.81,28.335,16.899,5.73,19.052,1.6506,35.589
Vellore,14,23.451999999999998,22.08,4.5,29.794,17.136,6.52,18.354,1.1185,7.696000000000001
Vellore,15,26.721999999999998,23.568,5.47,33.281,20.184,7.29,20.927,0.8539,1.271
Vellore,16,28.965,33.48,5.84,35.022,22.951,7.39,24.715999999999998,1.1514,22.37
Vellore,17,30.043000000000003,44.699,6.06,36.08,24.043000000000003,7.41,26.406999999999996,4.8048,92.314
Vellore,18,28.96,67.124,5.48,34.135999999999996,23.811999999999998,6.51,25.215999999999998,2.8201,96.367
Vellore,19,27.845,78.098,5.2,32.694,23.000999999999998,6.08,24.822,5.3853,49.388999999999996
Vellore,20,27.445,71.0,5.1,32.269,22.701,6.1,25.866999999999997,6.7654,260.17
Vellore,21,26.348000000000003,62.327,4.83,31.250999999999998,21.459,6.08,25.413,8.5564,173.46900000000002
Vellore,22,25.153000000000002,58.205,4.17,29.709,20.624000000000002,5.48,24.923000000000002,9.8338,291.877
Vellore,23,24.006,47.20399999999999,3.64,28.539,19.48,5.15,21.919,5.3691,85.904
Vellore,24,23.195,37.385999999999996,3.44,28.025,18.42,5.12,20.518,4.981,76.766
Vellore,25,23.351999999999997,27.285999999999998,3.89,29.086,17.675,5.74,19.052,1.0873,22.022
Vellore,26,24.816,22.08,4.66,31.155,18.499000000000002,6.6,19.382,0.3007,1.035
Vellore,27,26.845,23.568,5.5,33.399,20.303,7.33,20.916,0.0,0.0
Vellore,28,28.899,33.48,5.82,34.958,22.886999999999997,7.42,24.728,0.9455,5.267
Vellore,29,28.765,44.699,5.9,34.802,22.794,7.37,26.031,8.7548,144.616
Vellore,30,28.147,67.124,5.38,33.334,23.008000000000003,6.47,25.115,3.6303,98.831
Vellore,31,27.296999999999997,78.098,5.11,32.146,22.47,6.04,24.822,5.504,108.07
Vellore,32,26.743000000000002,71.0,5.01,31.565,21.979,6.07,25.233,7.2163,144.207
Vellore,33,26.046,62.327,4.81,30.951,21.16,6.05,25.413,9.3558,350.291
Vellore,34,25.357,58.205,4.19,29.915,20.824,5.5,24.923000000000002,7.3778,162.162
Vellore,35,23.209,47.20399999999999,3.57,27.743000000000002,18.723,5.14,21.323,8.9803,398.275
Vellore,36,22.204,37.385999999999996,3.34,27.033,17.43,5.07,20.157,4.1181,185.97099999999998
Vellore,37,22.401999999999997,27.285999999999998,3.78,28.136,16.724,5.71,18.514,1.1738,14.054
Vellore,38,23.357,22.08,4.49,29.697,17.038,6.52,18.236,0.0,0.0
Vellore,39,26.265,23.568,5.41,32.827,19.73,7.26,19.649,0.0,0.0
Vellore,40,29.094,33.48,5.86,35.161,23.075,7.4,24.728,1.3391,12.604000000000001
Vellore,41,28.587,44.699,5.9,34.626,22.55,7.4,24.713,6.3468,152.83700000000002
Vellore,42,28.018,67.124,5.38,33.199,22.87,6.46,24.729,2.6463,25.246
Vellore,43,27.013,78.098,5.1,31.858,22.178,6.01,24.822,6.4312,91.211
Vellore,44,27.206999999999997,71.0,5.07,32.032,22.436999999999998,6.07,25.233,4.1846,35.38
Vellore,45,27.147,62.327,4.92,32.051,22.250999999999998,6.12,25.413,5.3983,82.194
Vellore,46,25.753,58.205,4.22,30.307,21.218000000000004,5.54,24.923000000000002,6.5107,179.49
