District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Viluppuram,1,25.554000000000002,30.171999999999997,3.8,29.886,20.741999999999997,5.51,23.34,1.0147,7.678
Viluppuram,2,26.375999999999998,25.142,4.46,31.541,21.066,6.27,22.397,2.9509,56.828
Viluppuram,3,27.035,26.414,5.08,32.579,21.518,6.83,23.945,0.9935,1.911
Viluppuram,4,29.509,37.351,5.41,34.964,24.428,6.78,27.795,1.004,13.231
Viluppuram,5,30.353,48.228,5.72,35.42,25.021,6.93,29.393,2.8525,42.545
Viluppuram,6,30.237,68.17,5.5,33.931,25.248,6.41,27.541999999999998,2.1378,31.489
Viluppuram,7,29.125,77.461,5.28,32.393,24.339000000000002,6.1,27.045,2.8824,37.95
Viluppuram,8,28.45,70.937,5.15,31.818,23.761,6.1,27.763,4.4336,79.028
Viluppuram,9,28.383000000000003,62.909,4.94,32.059,23.758000000000003,6.02,27.939,7.1279,186.77900000000002
Viluppuram,10,27.186999999999998,60.391999999999996,4.21,30.43,23.039,5.4,27.361,5.224,146.122
Viluppuram,11,25.383000000000003,51.086000000000006,3.57,28.601999999999997,21.418000000000003,4.96,25.28,7.6233,224.615
Viluppuram,12,23.898000000000003,40.723,3.3,27.038,19.774,4.86,23.272,3.6337,179.298
Viluppuram,13,24.269000000000002,30.171999999999997,3.7,28.335,19.433,5.45,21.881999999999998,2.5066,46.882
Viluppuram,14,24.592,25.142,4.29,29.794,19.283,6.14,21.215,2.1389,24.195
Viluppuram,15,27.444000000000003,26.414,5.13,33.281,21.897,6.81,24.385,1.0856,9.485
Viluppuram,16,29.746,37.351,5.43,35.022,24.67,6.79,27.794,1.0535,13.448
Viluppuram,17,30.87,48.228,5.77,36.08,25.533,6.95,29.395,4.1353,84.51899999999999
Viluppuram,18,30.375999999999998,68.17,5.51,34.135999999999996,25.388,6.42,27.732,1.9275,41.351000000000006
Viluppuram,19,29.247,77.461,5.29,32.694,24.461,6.1,27.045,4.4719999999999995,70.87899999999999
Viluppuram,20,28.706,70.937,5.17,32.269,24.02,6.14,28.247,5.5552,156.964
Viluppuram,21,27.871,62.909,4.88,31.250999999999998,23.247,6.03,27.939,6.9753,142.87
Viluppuram,22,26.41,60.391999999999996,4.15,29.709,22.261,5.34,27.361,9.9273,319.97700000000003
Viluppuram,23,25.34,51.086000000000006,3.56,28.539,21.375999999999998,4.93,24.859,6.7451,153.971
Viluppuram,24,24.666,40.723,3.34,28.025,20.561999999999998,4.86,23.329,5.5088,178.85
Viluppuram,25,24.813000000000002,30.171999999999997,3.74,29.086,20.0,5.44,21.939,1.1421,25.375999999999998
Viluppuram,26,26.073,25.142,4.43,31.155,20.765,6.22,22.397,1.4202,7.976
Viluppuram,27,27.616,26.414,5.15,33.399,22.103,6.84,24.208000000000002,0.0113,0.011000000000000001
Viluppuram,28,29.743000000000002,37.351,5.44,34.958,24.666,6.84,27.795,0.7767,3.301
Viluppuram,29,29.845,48.228,5.67,34.802,24.51,6.93,29.206,6.8501,202.048
Viluppuram,30,29.761,68.17,5.45,33.334,24.774,6.38,27.541999999999998,2.6057,50.218999999999994
Viluppuram,31,28.955,77.461,5.26,32.146,24.169,6.09,27.045,4.3506,56.328
Viluppuram,32,28.163,70.937,5.12,31.565,23.48,6.1,27.763,6.3264,123.736
Viluppuram,33,27.594,62.909,4.85,30.951,22.971,5.97,27.939,8.5738,248.203
Viluppuram,34,26.928,60.391999999999996,4.18,29.915,22.778000000000002,5.36,27.361,7.145,147.447
Viluppuram,35,24.905,51.086000000000006,3.53,27.743000000000002,20.941,4.93,24.34,9.1181,298.051
Viluppuram,36,23.748,40.723,3.26,27.033,19.645,4.85,23.038,5.1089,221.16
Viluppuram,37,23.939,30.171999999999997,3.66,28.136,19.125999999999998,5.43,21.388,1.2514,21.771
Viluppuram,38,24.569000000000003,25.142,4.28,29.697,19.26,6.15,21.125,0.0,0.0
Viluppuram,39,26.996,26.414,5.08,32.827,21.45,6.77,23.081,0.0113,0.011000000000000001
Viluppuram,40,29.869,37.351,5.44,35.161,24.833000000000002,6.81,27.795,0.8605,10.597999999999999
Viluppuram,41,29.783,48.228,5.65,34.626,24.447,6.94,27.616,4.8943,122.86399999999999
Viluppuram,42,29.596,68.17,5.43,33.199,24.609,6.37,27.498,2.3988,25.677
Viluppuram,43,28.660999999999998,77.461,5.22,31.858,23.874000000000002,6.05,27.045,5.8985,99.12700000000001
Viluppuram,44,28.471,70.937,5.16,32.032,23.784000000000002,6.07,27.763,3.6649,41.926
Viluppuram,45,28.498,62.909,4.93,32.051,23.874000000000002,6.03,27.939,4.7707,90.084
Viluppuram,46,27.088,60.391999999999996,4.19,30.307,22.938000000000002,5.38,27.361,6.5437,169.507
Viluppuram,47,25.427,51.086000000000006,3.57,28.343000000000004,21.463,4.97,24.842,1.8088,14.264000000000001
Viluppuram,48,23.865,40.723,3.28,27.281,19.739,4.87,23.264,3.2156,46.542
Viluppuram,49,23.7,30.171999999999997,3.64,27.93,18.889,5.4,21.839000000000002,1.0785,24.029
Viluppuram,50,25.789,25.142,4.42,31.041,20.48,6.18,21.993000000000002,0.4499,0.45
Viluppuram,51,28.11,26.414,5.19,33.711,22.589000000000002,6.87,23.95,1.0723,18.67
Viluppuram,52,29.169,37.351,5.38,34.49,24.09,6.82,26.318,3.2356,95.751
