District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Virudhunagar,1,25.633000000000003,35.525,3.8,30.136999999999997,21.198,5.42,23.456,1.726,27.275
Virudhunagar,2,26.71,33.098,4.29,31.294,22.149,5.89,23.956,2.7571,56.355
Virudhunagar,3,26.949,34.622,4.59,31.369,22.535999999999998,6.17,25.424,3.7535,62.785
Virudhunagar,4,27.85,49.816,4.64,31.893,23.831,5.92,28.311,5.6578,201.334
Virudhunagar,5,27.660999999999998,59.403999999999996,4.38,31.305999999999997,24.079,5.51,29.127,5.531000000000001,192.097
Virudhunagar,6,26.482,75.766,3.97,29.674,23.288,4.85,28.405,10.3044,179.834
Virudhunagar,7,26.011,77.313,3.94,29.2,22.844,4.78,27.691,7.4558,73.539
Virudhunagar,8,25.993000000000002,70.293,3.98,29.212,22.795,4.95,27.32,4.6368,103.147
Virudhunagar,9,26.008000000000003,64.929,3.99,29.395,22.682,5.07,27.316999999999997,7.9561,193.717
Virudhunagar,10,25.853,64.852,3.81,29.354,22.383000000000003,4.89,27.502,7.8654,151.24
Virudhunagar,11,25.029,58.391000000000005,3.46,28.612,21.49,4.66,26.778000000000002,12.6836,282.056
Virudhunagar,12,24.736,45.542,3.42,28.718000000000004,20.825,4.85,24.127,4.3025,26.495
Virudhunagar,13,24.767,35.525,3.74,29.268,20.307000000000002,5.37,22.999000000000002,2.3652,85.088
Virudhunagar,14,25.430999999999997,33.098,4.16,30.016,20.87,5.82,23.636999999999997,1.2237,2.722
Virudhunagar,15,27.224,34.622,4.6,31.645,22.811999999999998,6.15,25.85,3.6519,91.411
Virudhunagar,16,28.248,49.816,4.67,32.291,24.23,5.93,28.311,3.9816,83.721
Virudhunagar,17,28.18,59.403999999999996,4.43,31.823,24.598000000000003,5.54,29.088,3.9255,82.495
Virudhunagar,18,26.849,75.766,4.0,30.041999999999998,23.655,4.88,28.443,10.6354,354.491
Virudhunagar,19,25.649,77.313,3.92,28.838,22.480999999999998,4.77,27.636,9.0183,85.97200000000001
Virudhunagar,20,26.419,70.293,4.02,29.638,23.221999999999998,4.95,28.144000000000002,6.3232,175.435
Virudhunagar,21,25.988000000000003,64.929,4.0,29.375999999999998,22.662,5.1,27.316999999999997,8.538,130.266
Virudhunagar,22,25.522,64.852,3.78,29.026,22.076,4.86,27.496,13.1805,414.69300000000004
Virudhunagar,23,25.12,58.391000000000005,3.46,28.697,21.574,4.64,26.73,8.1078,200.94299999999998
Virudhunagar,24,25.250999999999998,45.542,3.45,29.233,21.34,4.84,24.987,4.1339999999999995,93.09
Virudhunagar,25,25.809,35.525,3.8,30.311999999999998,21.373,5.4,23.383000000000003,1.0562,29.26
Virudhunagar,26,26.473000000000003,33.098,4.27,31.057,21.914,5.89,24.005,1.4095,2.2769999999999997
Virudhunagar,27,27.25,34.622,4.61,31.668000000000003,22.836,6.17,24.997,0.4142,0.414
Virudhunagar,28,28.323,49.816,4.68,32.366,24.304000000000002,5.95,28.313000000000002,3.6889,80.204
Virudhunagar,29,27.680999999999997,59.403999999999996,4.38,31.325,24.098000000000003,5.51,29.07,7.5599,179.623
Virudhunagar,30,26.843000000000004,75.766,4.0,30.035999999999998,23.648000000000003,4.88,28.405,10.6214,45.713
Virudhunagar,31,25.682,77.313,3.92,28.872,22.515,4.77,27.732,9.0203,124.325
Virudhunagar,32,25.915,70.293,3.98,29.133000000000003,22.718000000000004,4.95,27.318,12.011,136.342
Virudhunagar,33,25.708000000000002,64.929,3.96,29.098000000000003,22.384,5.05,27.316999999999997,9.5757,192.875
Virudhunagar,34,25.758000000000003,64.852,3.8,29.239,22.288,4.86,27.502,10.5085,243.768
Virudhunagar,35,25.049,58.391000000000005,3.46,28.631,21.504,4.67,26.505,8.6905,255.53799999999998
Virudhunagar,36,24.2,45.542,3.36,28.182,20.29,4.84,23.987,5.0453,101.265
Virudhunagar,37,24.230999999999998,35.525,3.69,28.732,19.771,5.34,22.284000000000002,1.9374,51.506
