District,Index,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall
Nagapattinam,1,0.349481724,0.265103659,0.184,0.288481566,0.446803924,0.254901961,0.404925313,0.084987824,0.008300068
Nagapattinam,2,0.427059465,0.194457399,0.412,0.400020829,0.487765441,0.501960784,0.327412192,0.193281121,0.084707978
Nagapattinam,3,0.473867976,0.212814969,0.608,0.462403666,0.520211275,0.68627451,0.478401292,0.085170641,0.032672112
Nagapattinam,4,0.663829787,0.371094247,0.72,0.618621121,0.721892853,0.662745098,0.766733952,0.083071905,0.026913038
Nagapattinam,5,0.842880524,0.530800865,0.936,0.853155593,0.844777406,0.776470588,0.879693177,0.137083269,0.043912363
Nagapattinam,6,0.869067103,0.772657255,0.964,0.885440533,0.855556753,0.71372549,0.690754945,0.092578374,0.051477001
Nagapattinam,7,0.74457174,0.873588559,0.884,0.752134972,0.75099709,0.623529412,0.634234962,0.123247702,0.037879998
Nagapattinam,8,0.67594108,0.790025579,0.852,0.683399292,0.683087205,0.639215686,0.707791683,0.292623712,0.121765031
Nagapattinam,9,0.620185488,0.701982731,0.724,0.612372422,0.657108979,0.568627451,0.718288252,0.472763969,0.295054658
Nagapattinam,10,0.52842335,0.666652535,0.448,0.468548219,0.61733319,0.325490196,0.669761809,0.414101748,0.093146226
Nagapattinam,11,0.32122204,0.560661947,0.168,0.236409081,0.452409184,0.117647059,0.521194994,0.764173778,0.341844255
Nagapattinam,12,0.20436443,0.419341163,0.028,0.104040825,0.354101541,0.031372549,0.367783609,0.365677263,0.292166677
Nagapattinam,13,0.236006547,0.265103659,0.152,0.17288065,0.334698717,0.235294118,0.283811062,0.337501554,0.143146226
Nagapattinam,14,0.219749045,0.194457399,0.348,0.202145386,0.279939636,0.470588235,0.230440048,0.172001258,0.046556224
Nagapattinam,15,0.481505728,0.212814969,0.612,0.469693814,0.527756818,0.662745098,0.502543399,0.088958603,0.020701038
Nagapattinam,16,0.732569558,0.371094247,0.74,0.691522599,0.797240487,0.670588235,0.758659669,0.016797198,0.000354664
Nagapattinam,17,0.880087289,0.530800865,0.956,0.888564882,0.877115447,0.796078431,0.879693177,0.16696283,0.099476448
Nagapattinam,18,0.869067103,0.772657255,0.964,0.885440533,0.855556753,0.717647059,0.690754945,0.162611792,0.0383145
Nagapattinam,19,0.741407529,0.873588559,0.888,0.749010623,0.744637275,0.62745098,0.634234962,0.236579427,0.07209513
Nagapattinam,20,0.682487725,0.790025579,0.852,0.68964799,0.68944702,0.643137255,0.72394025,0.306349589,0.139882086
Nagapattinam,21,0.612547736,0.701982731,0.72,0.605082275,0.649455643,0.576470588,0.718288252,0.368031942,0.232079469
Nagapattinam,22,0.43797054,0.666652535,0.42,0.382212039,0.527756818,0.31372549,0.661687525,0.81121617,0.32989314
Nagapattinam,23,0.32122204,0.560661947,0.168,0.236409081,0.452409184,0.105882353,0.505046427,0.741680012,0.399771234
Nagapattinam,24,0.258919804,0.419341163,0.04,0.15611331,0.407998275,0.031372549,0.394428744,0.49132352,0.400531229
Nagapattinam,25,0.284015276,0.265103659,0.16,0.218704437,0.382127843,0.22745098,0.283811062,0.13897725,0.069842781
Nagapattinam,26,0.408401528,0.194457399,0.404,0.382212039,0.469548345,0.490196078,0.327412192,0.133470811,0.015319659
Nagapattinam,27,0.503436989,0.212814969,0.624,0.490522808,0.541769969,0.690196078,0.475979007,0.014625335,0.000307069
Nagapattinam,28,0.721549373,0.371094247,0.736,0.673817955,0.778915598,0.674509804,0.766733952,0.018976373,0.000399189
Nagapattinam,29,0.794762684,0.530800865,0.912,0.807227661,0.800474291,0.780392157,0.879693177,0.321216243,0.271153964
Nagapattinam,30,0.820949264,0.772657255,0.944,0.839616747,0.808019834,0.698039216,0.690754945,0.158772642,0.062929129
Nagapattinam,31,0.733769776,0.873588559,0.884,0.74161633,0.737091732,0.623529412,0.634234962,0.228367301,0.08988055
Nagapattinam,32,0.638843426,0.790025579,0.828,0.647885857,0.653982969,0.631372549,0.705369398,0.397260675,0.145050052
