Combination,MSE - MLR,MSE - PR[4],MSE - DTR[6],MSE - SVR[L],EVS - MLR,EVS - PR[4],EVS - DTR[6],EVS - SVR[L]
['RFR'],0.00033251848153856983,0.0003623306963581511,0.00048028267814591785,0.0033760429064940674,0.8923525134858608,0.8826994064348238,0.8445127269933442,0.7257121757868166
['ETR'],0.00036012786254751905,0.00034213574982762076,0.0004631209740792062,0.004041378536735283,0.8834505433089895,0.8892498030517347,0.850070797422765,0.6730850623240564
['GBR'],0.00033226338799307345,0.00030874067035923937,0.0004561472409858914,0.003280545994919945,0.8924490807365218,0.9000470493657531,0.8523259280634461,0.7257911750265209
['XGBR'],0.00031862584552930717,0.00029778420516945726,0.00044019090503371515,0.0038468389378512793,0.8968470175554214,0.9036080534135484,0.8574975530907758,0.6951827424707033
['BAR'],0.00034980512725688706,0.0004994665998254097,0.00040758586774438716,0.002806087381677381,0.8868007116278801,0.8384311012756426,0.8680536939911758,0.7768212871822344
"['RFR', 'ETR']",0.000338689670717329,0.012074699673070741,0.0004974246371344528,0.0034185818628528616,0.8903688244343143,-2.90828223068252,0.8389624451046794,0.7475410086071297
"['RFR', 'GBR']",0.00032779412913291374,0.0036232254016308747,0.00048347845355350164,0.00296775377309959,0.8938793897318038,-0.17201210015598933,0.8435031746415262,0.7658955411617068
"['RFR', 'XGBR']",0.000323943713087311,0.010304004790800868,0.0004923336560027466,0.0031274140417327317,0.8951273943889795,-2.3325695662904846,0.8406101488997009,0.7463405225894906
"['RFR', 'BAR']",0.0003382343644614301,0.010861764308022081,0.00042571095178493124,0.0020113093894772644,0.8905361569372342,-2.5135648318231145,0.8621795722762348,0.8212283237315354
"['ETR', 'GBR']",0.00032912504758141124,0.00049691959450524,0.00048481955696180165,0.003510780631225885,0.8934676531873983,0.8391333071180833,0.84305657137019,0.7152191246055688
"['ETR', 'XGBR']",0.00031754340547985617,0.0010290431806882557,0.0004611478649735631,0.00343022865027248,0.897200203066512,0.6669730320167504,0.8507077314210122,0.7217972398940329
"['ETR', 'BAR']",0.0003570233905727699,0.03662251810121388,0.0004114260861417966,0.0023968413209976445,0.8844655368488262,-10.855892474315537,0.8668066614169568,0.80175636865445
"['GBR', 'XGBR']",0.0003236190180551101,0.035758492949597646,0.0004542851755057744,0.003269318531476588,0.8952366099229168,-10.574064629466568,0.8529289407553611,0.7253710909331189
"['GBR', 'BAR']",0.00036032832189251875,0.06309779337297981,0.0005155464212122234,0.002679753312961735,0.8833979365635005,-19.419566124726998,0.8331083198735082,0.7781399949468407
"['XGBR', 'BAR']",0.0003550059401321714,0.0041733785561431595,0.0004312716974615866,0.0029873687919157433,0.885120606343519,-0.35083495258952957,0.8604365387436964,0.7594885254350064
"['RFR', 'ETR', 'GBR']",0.0003331009528356109,0.31351453993834455,0.0004742910014867057,0.0030896402870297392,0.8921710449458411,-100.47665296230421,0.84650921125883,0.7494471961626573
"['RFR', 'ETR', 'XGBR']",0.00032878042559766576,0.46724966934494466,0.00048568710863403043,0.0031810104919281403,0.8935767897314643,-150.23653622037097,0.8427874755912923,0.7505551668065937
"['RFR', 'ETR', 'BAR']",0.000340794202028164,0.14690988712227263,0.0004376692806072899,0.002098057375437073,0.8896828053300375,-46.55825718705759,0.8583163172813442,0.8128847556558678
"['RFR', 'GBR', 'XGBR']",0.00032323740995017324,0.21716269063658997,0.0005060510595823053,0.0031050416229384857,0.8953572973032338,-69.28479058718145,0.8361742586960093,0.7408662247796365
"['RFR', 'GBR', 'BAR']",0.0003494974620196569,0.06134223571291439,0.00043128786166263277,0.0024491917616926064,0.8868769464147794,-18.843764218126218,0.8604425597774172,0.7929306513375063
"['RFR', 'XGBR', 'BAR']",0.0003470701674942798,0.1363359231110267,0.0004437694544648462,0.002642257547142037,0.8876759584809717,-43.12599442227885,0.8564316639085217,0.7805370810145795
"['ETR', 'GBR', 'XGBR']",0.0003212671789752624,1.1526387205053223,0.0004776946234455112,0.0032283537108606522,0.896000091072249,-372.12298280598475,0.8453502760672189,0.7276306273088596
"['ETR', 'GBR', 'BAR']",0.0003605513014720723,0.2871211164725436,0.0004914188045447824,0.0025523118913266156,0.8833255942963938,-91.9138066277595,0.8409061947012997,0.7826408844686339
"['ETR', 'XGBR', 'BAR']",0.000356308345441842,0.43040081699921434,0.0003933811789248916,0.0028334778872547237,0.8846960740760508,-138.31630365417215,0.8726464297288803,0.7695637725373836
"['GBR', 'XGBR', 'BAR']",0.00035752856979343056,0.23913206434153375,0.00044401957443996,0.0029962777425761454,0.8842881454619043,-76.39318483222144,0.8563302400407053,0.7584643995507112
"['RFR', 'ETR', 'GBR', 'XGBR']",0.00032877102769501756,2.621982355248472,0.0005249628908025284,0.003202681914369407,0.8935798686957466,-847.417841461726,0.8300566688550636,0.7462010001273216
"['RFR', 'ETR', 'GBR', 'BAR']",0.0003488169539451309,5.7427959124996635,0.000430989914062063,0.0024294444786636224,0.8870823008411154,-1858.1811190032633,0.8605156662977234,0.793106364174369
"['RFR', 'ETR', 'XGBR', 'BAR']",0.0003464765631382214,6.947005801404314,0.0004363854734262374,0.0026717669725467605,0.8878450859314154,-2247.5910365966906,0.858733060905824,0.7835621285919139
"['RFR', 'GBR', 'XGBR', 'BAR']",0.0003476915889264152,1.1947212882214493,0.00043855651229555547,0.0027146479565611863,0.88745314262373,-385.73335118124425,0.8581306715616004,0.7739980219725999
"['ETR', 'GBR', 'XGBR', 'BAR']",0.0003578648543318653,18.432151209283493,0.0004143985456791217,0.0029311968234215532,0.8841789837100954,-5965.465045596914,0.8658679180008867,0.7636127292635471
"['RFR', 'ETR', 'GBR', 'XGBR', 'BAR']",0.0003471175663462883,33.85815969436558,0.00043988567174934543,0.002756356053089563,0.8876276022484486,-10960.301891790059,0.8576466662866689,0.7758192603946333
