Combinations,MSE,RMSE,MAE,MDAE,EVS,R2
['RFR'],0.0005439855857550126,0.023323498574506624,0.013289705736122861,0.0074372499514005035,0.8182475028749654,0.8182471910539115
['ETR'],0.0005559205546124801,0.02357796756746603,0.01326305741778669,0.007415921779544243,0.8142612456323963,0.8142595594487136
['BAR'],0.000517771635562802,0.022754595921764948,0.013364910428845352,0.007606016173490156,0.8270056285606833,0.8270056199641085
['GBR'],0.0005389753281196501,0.023215842179848872,0.013378192620356433,0.007517071763789414,0.8199211856664246,0.8199211846717881
['XGBR'],0.0005435792438923726,0.023314785949958294,0.014097055800120446,0.00839018377711482,0.8202018240544531,0.8183829552669002
"['RFR', 'ETR']",0.0005452303753381724,0.023350168636182746,0.013231314226800071,0.0073971965772058335,0.8178314272670898,0.8178312903219609
"['RFR', 'BAR']",0.0005154504181016646,0.022703533163401343,0.01310348749820896,0.007294954453217138,0.8277812237634595,0.8277811695462741
"['RFR', 'GBR']",0.0005362835688684925,0.023157797150603347,0.013278325044602973,0.007459104425517471,0.8208206065856186,0.8208205371872145
"['RFR', 'XGBR']",0.0005373620977097026,0.023181071970676908,0.013593551379768073,0.007817931214468332,0.8209030739521979,0.8204601863772804
"['ETR', 'BAR']",0.0005191943628301269,0.022785836891150758,0.013086722068256822,0.007282062934529608,0.8265307517821591,0.8265302678886641
"['ETR', 'GBR']",0.0005384140988351453,0.02320375182670133,0.013233904381570018,0.007433611783177849,0.8201091411005317,0.8201086988295023
"['ETR', 'XGBR']",0.0005394707423071174,0.023226509473167022,0.013552582279345375,0.00779951762982999,0.8202384889660554,0.8197556602120931
"['BAR', 'GBR']",0.0005132144890804695,0.022654237773107034,0.013133056149849108,0.007356255494716565,0.8285282269877897,0.8285282231279278
"['BAR', 'XGBR']",0.0005145958192704415,0.0226847045224407,0.013392293817459797,0.007750593531734764,0.8285233988336058,0.8280667023658272
"['GBR', 'XGBR']",0.0005383934079780738,0.023203305970875655,0.01368591973692605,0.007895084008029175,0.8205710018816257,0.820115611919648
"['RFR', 'ETR', 'BAR']",0.0005224247610166177,0.02285661306967018,0.013082098627412077,0.00728338357048126,0.8254510260203098,0.825450948951207
"['RFR', 'ETR', 'GBR']",0.0005378700781866776,0.023192026176828053,0.013226909186066891,0.007425116530754091,0.8202905295154638,0.8202904633533664
"['RFR', 'ETR', 'XGBR']",0.0005383074974622339,0.023201454641083044,0.013426083117252094,0.007661287078314687,0.8203534875755063,0.8201443157639792
"['RFR', 'BAR', 'GBR']",0.0005176734838627826,0.022752439075026276,0.013105533629923912,0.007314735357138173,0.8270384346939331,0.8270384137506508
"['RFR', 'BAR', 'XGBR']",0.0005182552083463387,0.022765219268575883,0.013272313382621234,0.007547211076151104,0.8270417589674389,0.826844051874734
"['RFR', 'GBR', 'XGBR']",0.00053573512671756,0.0231459527070622,0.013495747956026618,0.0077045954844856615,0.8212009130091028,0.8210037789937746
"['ETR', 'BAR', 'GBR']",0.000518958253854226,0.022780655255155106,0.013080325747374333,0.007307204122516163,0.8266093799580465,0.8266091550333075
"['ETR', 'BAR', 'XGBR']",0.0005195302515070099,0.02279320625772096,0.013248157127817866,0.007539569534133608,0.8266335400088609,0.8264180430207351
"['ETR', 'GBR', 'XGBR']",0.0005362930966507603,0.02315800286403731,0.013459400627995681,0.007689424242321153,0.8210322524932864,0.8208173538286191
"['BAR', 'GBR', 'XGBR']",0.0005182765175267907,0.022765687284305534,0.01332462066032041,0.00760815363404592,0.8270402080589472,0.826836932194535
"['RFR', 'ETR', 'BAR', 'GBR']",0.0005223651902572748,0.022855309891954535,0.013094262287487512,0.007315523766465451,0.8254708990298534,0.8254708523330707
"['RFR', 'ETR', 'BAR', 'XGBR']",0.0005226688264114729,0.022861951500505656,0.01321691017453538,0.007479824498606444,0.8254875660008296,0.8253694034613207
"['RFR', 'ETR', 'GBR', 'XGBR']",0.0005359809837117368,0.023151263112662704,0.013387881950846744,0.0076091111483994455,0.8210394651597498,0.8209216349067605
"['RFR', 'BAR', 'GBR', 'XGBR']",0.0005207859760859816,0.022820735660490477,0.013263588331024333,0.00751199844347577,0.8261098653565084,0.8259984887614544
"['ETR', 'BAR', 'GBR', 'XGBR']",0.0005212898848019306,0.02283177357985863,0.013239856645818476,0.007504322609583336,0.8259515168986972,0.8258301261669768
"['RFR', 'ETR', 'BAR', 'GBR', 'XGBR']",0.0005235896190980268,0.022882080742319455,0.013220086138592699,0.007468996088961155,0.8251374881645506,0.8250617543955722
