Combinations,MSE,RMSE,MAE,MDAE,EVS,R2
"['MLR', 'DTR(6)']",0.000598956,0.024446748,0.014474612,0.008214519,0.799803993,0.799734386
"['MLR', 'PR(4)']",0.000543318,0.023273973,0.013847753,0.008019747,0.818683421,0.818635226
"['MLR', 'SVR(L)']",0.000864234,0.029366093,0.021502616,0.017771127,0.762814552,0.711286715
"['DTR(6)', 'PR(4)']",0.000540892,0.023227576,0.013419094,0.007507734,0.819191955,0.819140078
"['DTR(6)', 'SVR(L)']",0.000808582,0.028410774,0.02086668,0.017391895,0.78085643,0.729233665
"['PR(4)', 'SVR(L)']",0.000825753,0.028721445,0.021696433,0.018668945,0.757950594,0.723339569
"['MLR', 'DTR(6)', 'PR(4)']",0.000548344,0.023386192,0.013716951,0.007682062,0.816844537,0.816789535
"['MLR', 'DTR(6)', 'SVR(L)']",0.000698321,0.026392059,0.0182028,0.013952604,0.789526998,0.766708152
"['MLR', 'PR(4)', 'SVR(L)']",0.000685152,0.026146015,0.018522978,0.014815754,0.786704464,0.770896375
"['DTR(6)', 'PR(4)', 'SVR(L)']",0.0006673,0.025809698,0.018249312,0.014619009,0.7922088,0.776711088
"['MLR', 'DTR(6)', 'PR(4)', 'SVR(L)']",0.000625529,0.024980076,0.016904347,0.012685166,0.799291601,0.790661095
